Pressure (Pa),Specific Volume Vapor (m^3/kg)
12914.96092416301,7.7112803935488925
13385.33618592054,7.457141361213536
13870.092012028053,7.212743306811203
14369.57568906171,6.97766514969731
14884.140291639651,6.751505932563478
15414.14472633111,6.533883772890571
15959.953765447659,6.324434873363658
16521.93808493895,6.122812587698927
17100.474303032956,5.9286865385592815
17695.945009503877,5.741741784449959
18308.738809162816,5.561678032680012
18939.250347706602,5.388208895661569
19587.880348192448,5.221061187990973
20255.03564430568,5.0599742619151815
20941.129208813778,4.90469937893771
21646.58018815171,4.754999115457868
22371.81392846389,4.610646800467692
23117.26200648395,4.4714259834532495
23883.36225863083,4.3371299307610105
24670.558807565838,4.207561148796829
25479.302086747368,4.082530932524386
26310.048870698298,3.961858937823375
27163.262295721022,3.845372776355731
28039.411887561062,3.732907631668512
28938.97357988765,3.6243058953395053
29862.42974396665,3.519416822042961
30810.269203063424,3.4180962024796115
31782.987256420474,3.3202060531782016
32781.08570160961,3.2256143222344713
33805.07284891113,3.134194610108646
34855.46354263286,3.045825904654119
35932.7791784375,2.9603923295986876
37037.547719423754,2.87778290574479
38170.303712124936,2.797891324198286
39331.588300211806,2.720615730974733
40521.94924192657,2.645858522370359
41741.94092022434,2.5735261505195988
42992.12435755432,2.5035289385943713
44273.06722553225,2.43578090513161
45585.34385870864,2.3701995970041043
46929.53526150431,2.3067059305781337
48306.229121531695,2.2452240406261814
49716.01981210138,2.1856811365878404
51159.508407341484,2.1280073657947263
52637.302685189476,2.072135683296723
54150.017131843255,2.018001727946611
55698.272951782725,1.965543704419999
57282.69806931293,1.9147022708642352
58903.927132848126,1.8654204318878376
60562.60152101636,1.8176434366171876
62259.36934128059,1.7713186815621837
63994.88543329249,1.7263956180470261
65769.81137037187,1.6828256639749717
67584.81545948028,1.6405621197088878
69440.57274102715,1.599560087860773
71337.76498781852,1.559776396794873
73277.08070244557,1.5211695276590844
75259.21511534808,1.483699544769628
77284.87018399064,1.4473280291828863
79354.75458462202,1.412018015297324
81469.5837113295,1.377733930336664
83630.0796710076,1.3444415365731244
85836.97127423703,1.3121078761571894
88090.99403320684,1.2807012184272444
90392.89015323092,1.250191009578737
92743.40852380858,1.2205478245792527
95143.30471337977,1.1917433212213848
97593.34095770592,1.1637501962108885
100094.2861518564,1.136542143193019
102646.91584187154,1.11009381262481
105252.01221261386,1.0843807734057316
107910.36407595075,1.0593794761835804
110622.76686403973,1.0350672182568963
113390.02261025584,1.0114221099987837
116212.9399445299,0.9884230427311247
119092.33407293784,0.966049657981522
122029.02677076732,0.9442823180588447
125023.84636510635,0.9231020778862453
128077.62772102322,0.9024906580337103
131191.21222734536,0.8824304188950338
134365.44778123917,0.8629043359567592
137601.1887718093,0.8438959761092089
140899.29606602003,0.8253894749523187
144260.63699021924,0.8073695150509895
147686.0853145239,0.7898213050972365
151176.52123543283,0.7727305599381689
154732.8313568691,0.7560834814310288
158355.90867518928,0.7398667400907722
162046.65255800728,0.7240674574799786
165805.96872541518,0.7086731893445777
169634.76923619193,0.6936719094148657
173533.9724600737,0.6790519938771438
177504.50306574858,0.6648022064731315
181547.29199574672,0.6509116842015658
185663.27645207715,0.6373699235958874
189853.39986777568,0.6241667675528112
194118.6118949228,0.6112923926878788
198459.8683756483,0.5987372971952895
202878.1313277908,0.5864922891901099
207374.3689200239,0.5745484755122862
211949.55544962466,0.562897250972565
216604.67132190525,0.5515302880215031
221340.70302912558,0.5404395268235709
226158.64312624894,0.5296171657191202
231059.4902113588,0.5190556520578545
236044.24889762158,0.508747673388154
241113.92979769508,0.4986861489872397
246269.54949607767,0.4888642217179925
251512.1305271176,0.4792752501987267
256842.70135218493,0.46991280127294643
262262.2963371362,0.4607706427665795
267771.9557272975,0.4518427365208749
273372.72562510264,0.4431232316895785
279065.6579668004,0.43460645828948996
284851.81049728935,0.42628692099409426
290732.24674722715,0.41815929316031764
296708.0360119253,0.41021841107889084
302780.2533216587,0.402459268439307
308949.9794233012,0.3948770110006493
315218.3007528357,0.38746693146002387
321586.30941296276,0.38022446451064806
328055.10314989404,0.3731451820819889
334625.7853271708,0.3662247887546829
341299.4649029535,0.3594591173433117
348077.2564049376,0.3528441246403284
354960.2799099967,0.346375887314778
361949.66101326875,0.3400505979597363
369046.5308114341,0.3338645612825601
376252.02587554045,0.32781419043242344
383567.2882254294,0.3218960034597026
390993.4653085902,0.3161066199021406
398531.7099756204,0.31044275749282396
406183.18045641924,0.30490122898527294
413949.0403355777,0.29947893909112405
421830.45853085123,0.294172881526074
429828.60926684435,0.2889801361599237
437944.6720547086,0.283897866266754
446179.8316673492,0.27892331587140307
454535.2781138115,0.2740538071885932
463012.20662308286,0.2692867381511907
471611.8176114701,0.2646195800242359
480335.3166689839,0.2600498751015053
489183.91452987806,0.2555752344815092
498158.82705495215,0.2511933359199537
507261.2752043777,0.24690192175581452
516492.48502097355,0.24269879690826437
525853.6876028443,0.23858182694184274
535346.1190848472,0.23454893619734163
544971.0206155163,0.23059810598597905
554729.63833533,0.2267273728445202
564623.2233564389,0.22293482684913166
574653.031739635,0.2192186099858073
584820.324475231,0.21557691457531442
595126.3674623282,0.21200798175065544
605572.4314844888,0.20851009998517112
616159.792196752,0.20508160366943337
626889.7300958373,0.20172087173517578
637763.5305099555,0.19842632632457713
648782.4835726437,0.19519643150325933
659947.8842053907,0.19202969201545517
671261.0320990583,0.18892465207982934
682723.2316930362,0.18587989422451578
694335.792160724,0.18289403815997496
706100.0273850748,0.17996573968835844
718017.2559474972,0.17709368964805075
730088.8011043977,0.1742766128922064
742315.9907719037,0.17151326730004426
754700.1575091197,0.16880244281979076
767242.6385007139,0.1661429605421486
779944.7755401054,0.16353367180324035
792807.9150140807,0.1609734573160024
805833.4078854361,0.15846122632905182
819022.6096798198,0.15599591581207226
832376.8804673791,0.1535764896668214
845897.5848511783,0.151201937962865
859586.091949007,0.14887127619721396
873443.7753839355,0.14658354457702974
887472.0132655422,0.14433780732463242
901672.18818017,0.1421331520040444
916045.6871764499,0.13996868886835376
930593.9017526258,0.137843550227182
945318.2278448918,0.1357568898335919
960220.0658158484,0.13370788228978783
975300.8204417723,0.13169572247096395
990561.900903823,0.12971962496671652
1006004.7207757607,0.12777882353942352
1021630.6980136087,0.1258725705990311
1037441.2549495145,0.12400013669371585
1053437.818277964,0.12216081001588051
1069621.8190500203,0.120353895922999
1085994.6926647737,0.11857871647281519
1102557.8788619607,0.11683460997242164
1119312.8217130178,0.11512093054077945
1136260.9696174338,0.11343704768422774
1153403.775293951,0.1117823458845714
1170742.6957759112,0.11015622419934165
1188279.1924077359,0.10855809587382513
1206014.7308379407,0.10698738796450012
1223950.7810173726,0.10544354097349752
1242088.8171933414,0.10392600849374882
1260430.3179123348,0.10243425686446637
1278976.7660096255,0.10096776483664147
1297729.6486153733,0.09952602324822896
1316690.4571501804,0.09810853470872082
1335860.687324549,0.09671481329281051
1355241.8391415332,0.0953443842428598
1374835.4168952294,0.09399678367989157
1394642.9291747038,0.0926715583228476
1414665.888865347,0.09136826521584156
1434905.8131529843,0.09008647146317501
1455364.2235250347,0.0888257539718561
1476042.6457799657,0.08758569920140316
1496942.6100278965,0.08636590292070122
1518065.650700001,0.08516596997169724
1539413.3065536479,0.08398551403971743
1560987.1206812114,0.08282415743021422
1582788.640516798,0.08168153085173577
1604819.4178494294,0.08055727320493435
1627081.008828062,0.07945103137742658
1649574.9739776473,0.07836246004433156
1672302.8782078368,0.07729122147430723
1695266.2908275477,0.07623698534093261
1718466.7855577413,0.07519942853925603
1741905.9405461326,0.0741782350073745
1765585.3383848055,0.073173095552875
1789506.5661240935,0.07218370768400431
1813671.2152923555,0.07120977544542223
1838080.881913782,0.07025100925840178
1862737.1665285924,0.06930712576534324
1887641.674214026,0.06837784767847667
1912796.0146050637,0.06746290363262779
1938201.8019183925,0.06656202804192526
1963860.6549779589,0.06567496096034146
1989774.1972373757,0.0648014479459415
2015944.0568084493,0.06394123992874334
2042371.8664887627,0.06309409308207717
2069059.263790337,0.06225976869734782
2096007.8909698732,0.061438033062090974
2123219.395060775,0.06062865734123937
2150695.427905444,0.05983141746150096
2178437.6461897492,0.0590460939987541
2206447.7114794534,0.058272472068385386
2234727.2902566297,0.057510341218471685
2263278.053957516,0.05675949532573286
2292101.6790139396,0.056019732494178354
2321199.846894837,0.05529085495635928
2350574.2441481915,0.05457266897716427
2380226.5624456443,0.05386498476008009
2410158.4986305144,0.05316761635584886
2440371.754766239,0.05248038157345143
2470868.0381825063,0.05180310189335484
2501649.061529829,0.05113560238295944
2532716.5428337962,0.050477711614181485
