Pressure (Pa),Enthalpy Vapor (J/kg)
152909.87092837552,388602.3499118847
156203.2634176312,388914.9398025953
159551.89200192055,389227.1594847307
162956.3899388158,389539.0028053925
166417.39370109575,389850.46359284775
169935.54295963713,390161.5356556123
173511.48056837035,390472.21278151753
177145.85254708078,390782.4887367515
180839.30806557275,391092.357264881
184592.49942816136,391401.812085852
188406.08205742334,391710.8468949682
192280.71447867976,392019.45536184823
196217.05830504082,392327.6311293617
200215.77822116134,392635.36781254143
204277.54196898182,392942.65899747546
208403.02033225546,393249.49824017525
212592.8871220952,393555.8790654228
216847.81916226837,393861.7949655929
221168.4962746437,394167.2393994536
225555.6012657242,394472.2057909441
230009.81991200452,394776.6875279252
234531.8409467284,395080.6779609115
239122.356046231,395384.170401773
243782.05981704686,395687.1581224164
248511.64978259572,395989.6343534399
253311.82637075795,396291.5922827606
258183.2928871463,396593.0250550985
263126.7555567892,396893.92576725956
268142.9234362723,397194.28747132566
273232.5084501139,397494.1031702596
278396.22536835296,397793.3658170879
283634.79179542325,398092.0683133662
288948.92815954715,398390.20350761537
294339.3577028257,398687.7641937265
299806.80647126585,398984.7431093372
305352.00330493716,399281.1329341752
310975.6798290936,399576.9262883699
316678.570445157,399872.11573073204
322461.41232248116,400166.6937569996
328324.94539029454,400460.65279804805
334269.9123296872,400753.98521806736
340297.0585666917,401046.683312701
346407.13226547884,401338.7393071482
352600.88432156714,401630.1453542295
358879.0683564107,401920.89353241056
365242.44071101735,402210.97584378766
371691.76044174377,402500.38421203115
378227.7893151238,402789.1104802861
384851.29180363787,403077.14640902897
391563.0350824593,403364.4836738807
398363.7890256608,403651.1138633703
405254.32620400423,403937.02847665444
412235.4218825061,404222.21892118384
419307.85401877563,404506.6765103223
426472.40326197015,404790.39246091165
433729.8529518384,405073.357890782
441080.9891193098,405355.5638162087
448526.60048633895,405637.0011493093
456067.47846739297,405917.66069538327
463704.41717103845,406197.53315018944
471438.2134020808,406476.6090971601
479269.6666645543,406754.87900455116
487199.5791653701,407032.333222523
495228.7558181772,407308.96198015317
503358.0042483806,407584.7553823779
511588.13479834114,407859.7034068558
519919.9605340145,408133.7959007587
528354.2972511398,408407.0225774801
536891.9634833595,408679.3730132628
545533.7805101209,408950.83664374135
554280.5723656691,409221.4027603946
563133.1658489611,409491.06050691
572092.3905342293,409759.7988754511
581159.0787820681,410027.60670282814
590334.0657517212,410294.4726665679
599618.1894137878,410560.38528087706
609012.2905643411,410825.33289249835
618517.2128392509,411089.3036764544
628133.8027297418,411352.2856316719
637862.9095989846,411614.26657648815
647705.385699123,411875.2341440299
657662.0861897552,412135.1757774629
667733.8691569582,412394.07872510445
677921.5956337911,412651.9300353988
688226.1296211042,412908.7165517433
698648.338110044,413164.42490716616
709189.091105351,413419.0415188453
719849.2616495043,413672.5525824657
730629.7258486032,413924.94406640495
741531.3628984718,414176.2017057453
752555.0551129945,414426.31099610036
763701.6879525854,414675.25718725275
774972.1500548425,414923.0252765933
786367.3332656554,415169.60000235337
797888.1326722344,415414.9658366248
809535.446637174,415659.1069781551
821310.1768334254,415902.00734491035
833213.2282819849,416143.65056639747
845245.5093894461,416384.01997573284
857407.9319881944,416623.09860145
869701.411377406,416860.86915903253
882126.8663661141,417097.31404216244
894685.2193174637,417332.41531367
907377.3961950182,417566.15469617443
920204.3266105247,417798.51356240007
933166.9438732665,418029.4729251545
946266.185041731,418259.0134269539
959502.9909765943,418487.1153292798
972878.3063961951,418713.75850145053
986393.0799331681,418938.9224090899
1000048.2641942354,419162.58610217564
1013844.8158208521,419384.7282026469
1027783.6955531501,419605.3268915522
1041865.8682953848,419824.35989571415
1056092.3031838923,420041.8044738911
1070463.9736578392,420257.6374024083
1084981.8575315305,420471.83496023744
