Temperature (K),Entropy Liquid (J/kg.K)
205.495,215.58316273472627
207.51585858585858,258.0426332027309
209.53671717171719,300.16017960518974
211.55757575757576,341.9439842147171
213.57843434343434,383.40156717640014
215.59929292929294,424.53986878919125
217.62015151515152,465.3653261660133
219.6410101010101,505.8839439835782
221.6618686868687,546.101359184143
223.68272727272728,586.0228996226589
225.70358585858585,625.6536367635313
227.72444444444446,664.9984326213543
229.74530303030303,704.0619812108492
231.7661616161616,742.8488448241651
233.78702020202022,781.3634854904263
235.8078787878788,819.6102919953976
237.82873737373737,857.5936028499714
239.84959595959594,895.317725597448
241.87045454545455,932.7869528425882
243.89131313131313,970.0055753725429
245.9121717171717,1006.9778927221251
247.9330303030303,1043.7082215150558
249.95388888888888,1080.2009018898164
251.97474747474746,1116.4603022947247
253.99560606060606,1152.4908229124742
256.01646464646467,1188.2968979501375
258.0373232323232,1223.8829970073718
260.0581818181818,1259.2536257133804
262.0790404040404,1294.413325802167
264.099898989899,1329.3666747764987
266.1207575757576,1364.1182852933025
268.1416161616162,1398.6728043871738
270.16247474747473,1433.0349126345798
272.18333333333334,1467.2093233486544
274.2041919191919,1501.2007818835787
276.2250505050505,1535.0140651180698
278.2459090909091,1568.6539811796042
280.2667676767677,1602.125369464596
282.28762626262625,1635.4331010042868
284.30848484848485,1668.582079222559
286.3293434343434,1701.5772411288588
288.350202020202,1734.42355898819
290.3710606060606,1767.1260425094824
292.3919191919192,1799.689741594728
294.41277777777776,1832.11974969282
296.43363636363637,1864.421207805404
298.4544949494949,1896.599309196095
300.4753535353535,1928.6593048600923
302.4962121212121,1960.6065098180663
304.51707070707073,1992.4463103066544
306.5379292929293,2024.18417194813
308.5587878787879,2055.825648993599
310.57964646464643,2087.3763947485904
312.60050505050503,2118.842173306403
314.62136363636364,2150.2288727342757
316.64222222222224,2181.5425198806197
318.6630808080808,2212.789296998504
320.6839393939394,2243.975560412761
322.70479797979795,2275.107861495651
324.72565656565655,2306.1929702608495
326.74651515151515,2337.237901938599
328.76737373737376,2368.2499469583076
330.7882323232323,2399.2367048407746
332.8090909090909,2430.2061225937377
334.82994949494946,2461.166538314888
336.85080808080806,2492.1267308409374
338.87166666666667,2523.0959764455474
340.8925252525253,2554.084113790599
342.9133838383838,2585.1016185850644
344.9342424242424,2616.159689715746
346.955101010101,2647.270349003197
348.9759595959596,2678.4465572260187
350.9968181818182,2709.7023496794445
353.0176767676768,2741.052995331235
355.03853535353534,2772.515184666423
357.05939393939394,2804.107252652134
359.0802525252525,2835.849445013519
361.1011111111111,2867.7642383477814
363.1219696969697,2899.8767277363368
365.1428282828283,2932.21509976569
367.16368686868685,2964.8112147089905
369.18454545454546,2997.701329761235
371.205404040404,3030.927006752101
373.2262626262626,3064.5362643981484
375.2471212121212,3098.5850596822615
377.2679797979798,3133.1392200130454
379.28883838383837,3168.2770054539606
381.309696969697,3204.0925729064106
383.3305555555555,3240.700768427692
385.3514141414141,3278.2439417373025
387.37227272727273,3316.901963927691
389.39313131313133,3356.90756231728
391.4139898989899,3398.5709860041193
393.4348484848485,3442.3221760874294
395.45570707070704,3488.7885903028227
397.47656565656564,3538.9537583356237
399.49742424242424,3594.527289230207
401.51828282828285,3659.00551012562
403.5391414141414,3742.084425665374
405.56,3995.1689293123327
