Temperature (K),Entropy Liquid (J/kg.K)
283.16,151.2339613951911
286.8361212121212,205.31659539903444
290.51224242424246,258.6530804835192
294.18836363636365,311.2772491719367
297.8644848484849,363.2186100690245
301.5406060606061,414.5032480720022
305.2167272727273,465.15450585433274
308.8928484848485,515.1935114396945
312.5689696969697,564.6395931319114
316.24509090909095,613.5106092277498
319.92121212121214,661.8232115934185
323.5973333333334,709.5930569516729
327.27345454545457,756.8349763296759
330.94957575757576,803.5631107878288
334.625696969697,849.791019889413
338.3018181818182,895.5317681265944
341.97793939393944,940.7979935572203
345.6540606060606,985.6019621370211
349.3301818181818,1029.9556106094474
353.00630303030306,1073.8705803014684
356.68242424242425,1117.3582437462671
360.3585454545455,1160.4297257021742
364.0346666666667,1203.0959198395162
367.71078787878787,1245.3675021251947
371.3869090909091,1287.25494172994
375.0630303030303,1328.7685101178176
378.73915151515155,1369.9182888389305
382.41527272727274,1410.7141764352339
386.0913939393939,1451.1658947785036
389.76751515151517,1491.2829950851567
393.4436363636364,1531.0748637954873
397.1197575757576,1570.5507284573562
400.7958787878788,1609.719663717812
404.47200000000004,1648.5905974990785
408.1481212121212,1687.1723174124427
411.82424242424247,1725.473477448471
415.50036363636366,1763.502604970028
419.17648484848485,1801.2681080274317
422.85260606060604,1838.7782830091676
426.5287272727273,1876.041322640025
430.2048484848485,1913.0653243376707
433.8809696969697,1949.858298940161
437.5570909090909,1986.4281798190705
441.23321212121215,2022.7828323970455
444.90933333333334,2058.9300640939614
448.5854545454546,2094.877634730894
452.26157575757577,2130.633267429231
455.93769696969696,2166.2046600495305
459.6138181818182,2201.599497224639
463.28993939393945,2236.825463051448
466.96606060606064,2271.8902545188225
470.6421818181818,2306.8015957610787
474.318303030303,2341.567253244192
477.99442424242426,2376.195052008201
481.6705454545455,2410.6928931106872
485.3466666666667,2445.0687724402674
489.0227878787879,2479.330801096538
492.69890909090907,2513.487227565448
496.3750303030303,2547.546461959309
500.05115151515156,2581.517102627845
503.72727272727275,2615.407965514655
507.40339393939394,2649.228116677859
511.0795151515151,2682.986908483317
514.7556363636363,2716.69402005788
518.4317575757576,2750.3595027057254
522.1078787878788,2783.9938311102565
525.784,2817.607961306757
529.4601212121212,2851.213396596424
533.1362424242425,2884.8222628036906
536.8123636363637,2918.447394562267
540.4884848484849,2952.102434665009
544.164606060606,2985.8019489480303
547.8407272727272,3019.5615597250994
551.5168484848484,3053.39810147834
555.1929696969697,3087.3298033924048
558.8690909090909,3121.376504458597
562.5452121212121,3155.55990836978
566.2213333333334,3189.9038874203297
569.8974545454546,3224.434847343757
573.5735757575758,3259.182168819856
577.249696969697,3294.1787468562347
580.9258181818182,3329.4616573956732
584.6019393939393,3365.0729930561856
588.2780606060605,3401.0609299141565
591.9541818181818,3437.4811200513586
595.630303030303,3474.3985596072885
599.3064242424243,3511.890175628187
602.9825454545455,3550.0485349883534
606.6586666666667,3588.987351366697
610.3347878787879,3628.8499285694706
614.0109090909091,3669.822453031005
617.6870303030303,3712.1553349636843
621.3631515151515,3756.1979031681185
625.0392727272728,3802.4550592734877
628.715393939394,3851.6789384117674
632.3915151515151,3905.012259503565
636.0676363636364,3964.211884073839
639.7437575757576,4032.2924388454667
643.4198787878788,4118.74785976673
647.096,4406.961892363361
