Pressure (Pa),Enthalpy Liquid (J/kg)
1356022.1516480278,823309.4000997178
1383555.3730388167,827495.7462627527
1411523.6396376428,831686.3424944209
1439931.6780734058,835881.2371327415
1468784.2394917866,840080.4790327068
1498086.0995200993,844284.117575738
1527842.0582310148,848492.2026794318
1558056.940097922,852704.7848074685
1588735.593965902,856921.9149798844
1619882.8930232665,861143.6447835146
1651503.7347673648,865370.0263827672
1683603.0409685033,869601.1125306053
1716185.757663603,873836.9565799147
1749256.8551221634,878077.612495082
1782821.3278242606,882323.134863889
1816884.1944524297,886573.5789097715
1851450.497871817,890829.000504358
1886525.3051176502,895089.4561803379
1922113.7073914944,899355.0031447031
1958220.8200515818,903625.6992923425
1994851.7826180514,907901.6032199712
2032011.758763094,912182.7742404733
2069705.9363240963,916469.2723976158
2107939.52731054,920761.1584811931
2146717.7679160647,925058.4940425638
2186045.9185271626,929361.341410622
2225929.263752998,933669.7637082346
2266373.112545112,937983.8248691875
2307382.7977786316,942303.5896552963
2348963.6770159844,946629.1236746865
2391121.132007382,950960.4933998499
2433860.5688777617,955297.7661866605
2477187.4181725755,959641.0102938109
2521107.134905899,963990.2949028183
2565625.198612916,968345.6901386708
2610747.1134149367,972707.2670910177
2656478.408076343,977075.0978360311
2702824.6360771786,981449.2554589054
2749791.375692136,985829.8140770515
2797384.2300577294,990216.848863975
2845608.827270788,994610.4360738789
2894470.8204774624,999010.6530670675
2943975.8879625187,1003417.5783360798
2994129.7332608,1007831.2915326518
3044938.0852644346,1012251.8734955523
3096406.6983362213,1016679.4062792483
3148541.3524368806,1021113.9731835416
3201347.853259417,1025555.6587840812
3254832.032134866,1030004.5489638544
3308999.746966446,1034460.7309459152
3363856.881316128,1038924.2933267293
3419409.345211695,1043395.3261110627
3475663.0751617104,1047873.9207477618
3532624.0343403243,1052360.17016683
3590298.2127554277,1056854.1688176738
3648691.627450948,1061356.0127086965
3707810.3227096535,1065865.7994481826
3767660.3702508267,1070383.6282866108
3828247.869460155,1074909.6001603955
3889578.9476169366,1079443.8177371537
3951659.7601258103,1083986.3854625225
4014496.4907713206,1088537.4096086456
4078095.351979563,1093096.9983243283
4142462.5850743917,1097665.2616870052
4207604.460580448,1102242.3117565536
4273527.2784941755,1106828.2626310096
4340237.3686006535,1111423.2305043372
4407741.090786789,1116027.3337262687
4476044.835368414,1120640.6928643733
4545155.023434433,1125263.4307683657
4615078.107201096,1129895.672636843
4685820.570381892,1134537.546086508
4757388.928567581,1139189.1812239531
4829789.729623573,1143850.710720247
4903029.554107303,1148522.2698882918
4977115.015692416,1153203.996763185
5052052.7616120465,1157896.03218568
5127849.473121326,1162598.5198889014
5204511.86597333,1167311.6065884554
5282046.690918183,1172035.4420761047
5360460.734210476,1176770.1793171642
5439760.818143771,1181515.9745517923
5519953.801606664,1186272.9874003741
5601046.580644081,1191041.380973198
5683046.089062149,1195821.3219845935
5765959.299027676,1200612.9808718008
5849793.221720777,1205416.531918784
5934554.907980614,1210232.1533851845
6020251.448990389,1215060.0276407602
6106889.976990329,1219900.3413055115
6194477.666002723,1224753.2853958334
6283021.732598994,1229619.055476939
6372529.436683619,1234497.8518219874
6463008.082300505,1239389.879578104
6554465.018492972,1244295.3489398286
6646907.64016634,1249214.4753302492
6740343.38899757,1254147.47959034
6834779.754381269,1259094.5881768544
6930224.274394183,1264056.0333692913
7026684.536811834,1269032.053486473
7124168.180152459,1274022.8931131873
7222682.894760326,1279028.8033375298
7322236.4239351135,1284050.041999553
7422836.565096278,1289086.8739518542
7524491.170994764,1294139.5713328298
7627208.150967754,1299208.413853374
7730995.472245136,1304293.689097762
7835861.161295463,1309395.6928396893
7941813.305242393,1314514.7293743577
8048860.053311251,1319651.1118676425
8157009.618349189,1324805.162723459
8266270.278401379,1329977.2139705033
8376650.378341407,1335167.607669707
8488158.331577403,1340376.6963437889
8600802.621818421,1345604.843430482
8714591.804911815,1350852.4237610777
8829534.510760602,1356119.824066213
8945639.445317315,1361407.443510823
9062915.39265899,1366715.694260594
9181371.217145123,1372045.0020823057
9301015.865679108,1377395.8069807515
9421858.370052826,1382768.563875398
9543907.849398945,1388163.743319838
9667173.512753518,1393581.832268051
9791664.661716724,1399023.3348913547
