Pressure (Pa),Enthalpy Liquid (J/kg)
3605143.786925233,711020.2413844194
3647807.2401827993,713905.9954674907
3690847.123055593,716798.4793449688
3734265.6498474684,719697.7907287845
3778065.04520962,722604.0296278362
3822247.5443381853,725517.298427473
3866815.3931751894,728437.7019724278
3911770.8486204306,731365.3476533877
3957116.178744566,734300.3454973804
4002853.663013335,737242.8082622148
4048985.5925165126,740192.851535134
4095514.2702063173,743150.5938359745
4142442.0111395884,746116.156725019
4189771.14273277,749089.66491586
4237504.00502206,752071.2463934885
4285642.950932929,755061.0325379702
4334190.346557075,758059.1582539643
4383148.571442278,761065.7621064746
4432520.018886469,764080.9864631519
4482307.096246298,767104.9776435508
4532512.225254444,770137.8860757629
4583137.842345906,773179.8664608442
4634186.398999287,776231.0779455218
4685660.362085618,779291.684303682
4737562.214232458,782361.8541271876
4789894.454199911,785441.7610266012
4842659.597269051,788531.5838424342
4895860.1756461505,791631.5068676078
4949498.738880126,794741.7200818324
5003577.854295308,797862.4193987045
5058100.107443484,800993.8069263325
5113068.102568223,804136.0912424165
5168484.463091295,807289.4876847541
5224351.83211565,810454.2186582201
5280672.87295069,813630.5139593622
5337450.269655166,816818.6111198505
5394686.727607774,820018.7557701092
5452384.974096891,823231.2020245912
5510547.758936433,826456.2128902564
5569177.855110973,829694.0606999623
5628278.059658464,832945.0275726411
5687851.193438018,836209.4059022749
5747900.103415374,839487.4988778749
5808427.662264777,842779.621036876
5869436.769507709,846086.0988545966
5930930.352351802,849407.2713726246
5992911.366572784,852743.4908692945
6055382.797434601,856095.1235757187
6118347.660658063,859462.5504412408
6181809.003440108,862846.1679523771
6245769.905518128,866246.3890100393
6310233.480294609,869663.6438699982
6375202.876015619,873098.3811523619
6440681.277013987,876551.0689262404
6506671.90501702,880022.1958766384
6573178.02052265,883512.2725612567
6640202.924253926,887021.8327658818
6707749.958690089,890551.4349679927
6775822.509686221,894101.6639194011
6844424.008184202,897673.1323600252
6913557.932021812,901266.4828765052
6983227.807850318,904882.3899209644
7053437.213168262,908521.5620073861
7124189.778478998,912184.7441052953
7195489.189585545,915872.7202531806
7267339.189945022,919586.316417082
7339743.583724355,923326.4036243584
7412706.237681856,927093.9014038736
7486231.08504867,930889.7815748733
7560322.128271028,934715.0724253079
7634983.442529792,938570.863333387
7710219.179434742,942458.3098913957
7786033.571006322,946378.639601743
7862430.933980025,950333.1582269036
7939415.6744716065,954323.2568892491
8016992.2930404,958350.4200340542
8095165.39020054,962416.2343898668
8173939.672431102,966522.3990859935
8253319.958751343,970670.7371179211
8333311.18792284,974863.2083902208
8413918.426364444,979101.9246137395
8495146.876871567,983389.1663932867
8577001.888241485,987727.4029161041
8659488.965930939,992119.3147448343
8742613.783887181,996567.8203374892
8826382.19771725,1001076.1070683523
8910800.25938965,1005647.6677195769
8995874.233696312,1010286.3436671249
9081610.616747038,1014996.3763182331
9168016.156813253,1019782.4687990828
9255097.877909213,1024649.8604827827
9342863.106570765,1029604.4177484132
9431319.502395526,1034652.7454604001
9520475.093031324,1039802.3251839817
9610338.314458549,1045061.6883074817
9700918.057622507,1050440.6353318293
9792223.72273707,1055950.5171001675
9884265.282942636,1061604.600460995
9977053.359467521,1067418.5510920659
10070599.311099168,1073411.08218328
10164915.341641568,1079604.8433065265
10260014.630284779,1086027.666248728
10355911.491564738,1092714.357486069
10452621.574151712,1099709.3575697495
10550162.11151985,1107070.83352269
10648552.24338406,1114877.2614110645
10747813.436081622,1123238.6110237688
10847970.045579633,1132316.726256232
10949050.0946725,1142366.0690209216
11051086.393007655,1153826.4900634515
11154118.278648317,1167581.1964984655
11258194.909666725,1185992.0578628718
11363391.162815327,1247802.1607166026
