Temperature (K),Entropy Vapor (J/kg.K)
205.495,7339.38683561917
207.51585858585858,7287.578946914401
209.53671717171719,7237.050433312285
211.55757575757576,7187.755909543545
213.57843434343434,7139.6518190493825
215.59929292929294,7092.696351202947
217.62015151515152,7046.849361745708
219.6410101010101,7002.072296035536
221.6618686868687,6958.328114785465
223.68272727272728,6915.5812220496755
225.70358585858585,6873.797395284469
227.72444444444446,6832.943717375381
229.74530303030303,6792.988510576567
231.7661616161616,6753.901272353759
233.78702020202022,6715.65261315804
235.8078787878788,6678.214196184128
237.82873737373737,6641.5586791840315
239.84959595959594,6605.659658416088
241.87045454545455,6570.491614810849
243.89131313131313,6536.029862430091
245.9121717171717,6502.250499284994
247.9330303030303,6469.130360564449
249.95388888888888,6436.646974308868
251.97474747474746,6404.778519529916
253.99560606060606,6373.503786795329
256.01646464646467,6342.8021412136395
258.0373232323232,6312.653487790452
260.0581818181818,6283.038239074395
262.0790404040404,6253.937285002007
264.099898989899,6225.331964832273
266.1207575757576,6197.204041046214
268.1416161616162,6169.535675074176
270.16247474747473,6142.309404702657
272.18333333333334,6115.5081230044625
274.2041919191919,6089.115058629532
276.2250505050505,6063.113757289916
278.2459090909091,6037.488064269955
280.2667676767677,6012.22210779187
282.28762626262625,5987.300283067816
284.30848484848485,5962.707236870638
286.3293434343434,5938.427852458202
288.350202020202,5914.447234688611
290.3710606060606,5890.75069516666
292.3919191919192,5867.3237372643725
294.41277777777776,5844.152040860777
296.43363636363637,5821.22144664742
298.4544949494949,5798.517939846586
300.4753535353535,5776.027633188153
302.4962121212121,5753.736748988449
304.51707070707073,5731.63160016987
306.5379292929293,5709.698570053154
308.5587878787879,5687.924090744476
310.57964646464643,5666.294619926939
312.60050505050503,5644.796615849466
314.62136363636364,5623.416510285588
316.64222222222224,5602.140679208867
318.6630808080808,5580.955410900548
320.6839393939394,5559.846871166526
322.70479797979795,5538.801065294626
324.72565656565655,5517.8037963270845
326.74651515151515,5496.840619155497
328.76737373737376,5475.8967898638975
330.7882323232323,5454.957209646659
332.8090909090909,5434.0063625082785
334.82994949494946,5413.028245806291
336.85080808080806,5392.006292520523
338.87166666666667,5370.923283913894
340.8925252525253,5349.761250980924
342.9133838383838,5328.501362746935
344.9342424242424,5307.123799065638
346.955101010101,5285.607605042359
348.9759595959596,5263.930523553521
350.9968181818182,5242.068801501141
353.0176767676768,5219.9969643811955
355.03853535353534,5197.687552386799
357.05939393939394,5175.110809504897
359.0802525252525,5152.23431471742
361.1011111111111,5129.022541144498
363.1219696969697,5105.436324142196
365.1428282828283,5081.432211946108
367.16368686868685,5056.9616609441955
369.18454545454546,5031.970020297709
371.205404040404,5006.395226189524
373.2262626262626,4980.166092003243
375.2471212121212,4953.200040031375
377.2679797979798,4925.400063155585
379.28883838383837,4896.650628666805
381.309696969697,4866.8121102641335
383.3305555555555,4835.713111542699
385.3514141414141,4803.139630433579
387.37227272727273,4768.8192336867905
389.39313131313133,4732.396909541098
391.4139898989899,4693.396257516513
393.4348484848485,4651.153216360658
395.45570707070704,4604.694303524801
397.47656565656564,4552.49072857435
399.49742424242424,4491.891956233397
401.51828282828285,4417.5300558236395
403.5391414141414,4314.865176939515
405.56,3995.1689293123327
