Temperature (K),Entropy Liquid (J/kg.K)
179.85,480.40345526534264
181.8132323232323,493.2971702059893
183.77646464646463,506.0664570750689
185.73969696969695,518.7155522011802
187.7029292929293,531.2484257227193
189.66616161616162,543.6688070552838
191.62939393939394,555.9802075879795
193.59262626262625,568.1859409373402
195.55585858585857,580.2891410464695
197.5190909090909,592.292778381211
199.4823232323232,604.199674444194
201.44555555555556,616.0125148005682
203.40878787878788,627.7338607857884
205.3720202020202,639.3661600453183
207.3352525252525,650.9117560382858
209.29848484848483,662.3728966215087
211.26171717171715,673.7517418166957
213.2249494949495,685.0503708516998
215.18818181818182,696.2707885562563
217.15141414141414,707.4149311834775
219.11464646464646,718.4846717203741
221.07787878787877,729.4818247436143
223.0411111111111,740.4081508705403
225.0043434343434,751.2653608500788
226.96757575757573,762.055119333326
228.93080808080808,772.7790483595016
230.8940404040404,783.4387305891992
232.85727272727271,794.0357123136727
234.82050505050503,804.5715062660622
236.78373737373735,815.0475942579658
238.7469696969697,825.4654296626154
240.71020202020202,835.8264397640015
242.67343434343434,846.1320279896836
244.63666666666666,856.383576043573
246.59989898989897,866.5824459538065
248.5631313131313,876.7299820497519
250.5263636363636,886.8275128813832
252.48959595959593,896.8763530935387
254.45282828282825,906.8778052670248
256.41606060606057,916.8331617381435
258.3792929292929,926.7437064079289
260.3425252525252,936.61071655225
262.3057575757575,946.4354646439397
264.2689898989899,956.2192201982286
266.2322222222222,965.9632516530323
268.19545454545454,975.6688282960698
270.15868686868686,985.3372222513524
272.1219191919192,994.9697105383176
274.0851515151515,1004.5675772178315
276.0483838383838,1014.1321156404101
278.01161616161613,1023.6646308133847
279.97484848484845,1033.1664419053989
281.93808080808077,1042.6388849085731
283.90131313131315,1052.0833154810377
285.86454545454546,1061.5011119952524
287.8277777777778,1070.8936788208741
289.7910101010101,1080.2624498747914
291.7542424242424,1089.60889247561
293.71747474747474,1098.9345115454234
295.68070707070706,1108.2408542083488
297.6439393939394,1117.5295148433197
299.6071717171717,1126.8021406583098
301.570404040404,1136.0604378649473
303.53363636363633,1145.306178546847
305.49686868686865,1154.5412083326728
307.46010101010097,1163.76745500679
309.4233333333333,1172.9869382174816
311.3865656565656,1182.2017804766433
313.3497979797979,1191.4142196874927
315.31303030303025,1200.6266234907387
317.27626262626256,1209.8415057881984
319.23949494949494,1219.0615458905427
321.20272727272726,1228.2896108486382
323.1659595959596,1237.5287816740245
325.1291919191919,1246.7823843443075
327.0924242424242,1256.0540267388985
329.05565656565653,1265.3476429804948
331.01888888888885,1274.6675470976982
332.9821212121212,1284.018498516451
334.94535353535355,1293.4057826944832
336.90858585858587,1302.8353113251164
338.8718181818182,1312.313748093632
340.8350505050505,1321.8486681865468
342.7982828282828,1331.4487629700488
344.76151515151514,1341.124106027639
346.72474747474746,1350.8865040079181
348.6879797979798,1360.7499670095058
350.6512121212121,1370.7313515268002
352.6144444444444,1380.8512591528536
354.57767676767673,1391.1353266846788
356.54090909090905,1401.6161378394513
358.5041414141414,1412.3361668987923
360.4673737373737,1423.352529451487
362.430606060606,1434.7451130046331
364.39383838383833,1446.6315785337104
366.35707070707065,1459.197948000777
368.32030303030297,1472.7703626610296
370.2835353535353,1488.0238936222736
372.24676767676766,1506.8626317222577
374.21,1562.0991079055627
