Temperature (K),Specific Volume Liquid (m^3/kg),Specific Volume Vapor (m^3/kg)
179.85,0.0006391285980017506,13.165654214071589
181.8132323232323,0.0006412703035846822,11.007038368566048
183.77646464646463,0.0006434305199416481,9.24563914999828
185.73969696969695,0.000645609650188093,7.801323473564172
187.7029292929293,0.0006478081124602152,6.6114103797931465
189.66616161616162,0.000650026340374093,5.626612141188389
191.62939393939394,0.0006522647835254012,4.807975245272329
193.59262626262625,0.000654523908030766,4.124562016002544
195.55585858585857,0.0006568041971120653,3.551684013958953
197.5190909090909,0.0006591061517252209,3.069548811832824
199.4823232323232,0.0006614302912352853,2.662218136509203
201.44555555555556,0.0006637771541398885,2.3168017697028054
203.40878787878788,0.0006661472988433951,2.0228308746417527
205.3720202020202,0.0006685413044843978,1.7717685441748188
207.3352525252525,0.0006709597718194961,1.5566258002618727
209.29848484848483,0.0006734033241666111,1.3716590078143038
211.26171717171715,0.0006758726084114562,1.2121304272177462
213.2249494949495,0.0006783682960811334,1.0741179482995158
215.18818181818182,0.0006808910844892323,0.9543632989647163
217.15141414141414,0.0006834416979572297,0.8501504744898252
219.11464646464646,0.0006860208891174578,0.7592080026220419
221.07787878787877,0.0006886294403034117,0.6796300810773986
223.0411111111111,0.0006912681650337037,0.6098127150214584
225.0043434343434,0.0006939379095965957,0.5484018209717891
226.96757575757573,0.0006966395547426664,0.4942509116120589
228.93080808080808,0.0006993740174939246,0.4463864785949903
230.8940404040404,0.0007021422530784439,0.4039795816929136
232.85727272727271,0.0007049452570004885,0.3663224584266691
234.82050505050503,0.0007077840672570588,0.332809208130062
236.78373737373735,0.0007106597667128558,0.30291979318345824
238.7469696969697,0.0007135734856468518,0.2762067492613063
240.71020202020202,0.0007165264044849658,0.2522841146197487
242.67343434343434,0.0007195197567348159,0.23081818242891666
244.63666666666666,0.000722554832140146,0.21151975512872087
246.59989898989897,0.0007256329800743486,0.19413763978944235
248.5631313131313,0.0007287556131945425,0.17845317162713864
250.5263636363636,0.0007319242113799444,0.1642755916095471
252.48959595959593,0.0007351403259808256,0.15143813539603912
254.45282828282825,0.0007384055844072352,0.1397947163339702
256.41606060606057,0.0007417216950898829,0.12921710547058324
258.3792929292929,0.0007450904528492422,0.11959252900126667
260.3425252525252,0.0007485137447130471,0.11082161650808588
262.3057575757575,0.0007519935562270215,0.10281664508957891
264.2689898989899,0.0007555319783089743,0.0955000334882771
266.2322222222222,0.0007591312147024038,0.08880304793514299
268.19545454545454,0.0007627935900926076,0.08266468768220216
270.15868686868686,0.0007665215589561212,0.07703072337620905
272.1219191919192,0.000770317715223242,0.07185286564220006
274.0851515151515,0.000774184802843676,0.06708804498760901
276.0483838383838,0.0007781257273571524,0.06269778683785937
278.01161616161613,0.0007821435685844538,0.058647668222272194
279.97484848484845,0.0007862415945700746,0.05490684457302218
281.93808080808077,0.0007904232769259801,0.0514476368718742
283.90131313131315,0.0007946923077472061,0.04824517083108259
285.86454545454546,0.0007990526182948642,0.045277061020613754
287.8277777777778,0.0008035083996712095,0.042523133887518126
289.7910101010101,0.0008080641257456778,0.03996518448659293
291.7542424242424,0.0008127245786311953,0.03758676248077979
293.71747474747474,0.0008174948770580694,0.03537298359671527
295.68070707070706,0.0008223805080498907,0.03331036325359173
297.6439393939394,0.0008273873623743346,0.03138666953690868
299.6071717171717,0.0008325217743241375,0.029590793075327547
301.570404040404,0.0008377905664831924,0.02791263170905362
303.53363636363633,0.000843201100254052,0.026342988120655265
305.49686868686865,0.0008487613330716332,0.024873478841287915
307.46010101010097,0.0008544798834109237,0.023496453252975568
309.4233333333333,0.00086036610492332,0.022204921386084767
311.3865656565656,0.0008664301713194041,0.020992489464663835
313.3497979797979,0.0008726831739718116,0.019853302284556736
315.31303030303025,0.0008791372346621914,0.0187819916231716
317.27626262626256,0.0008858056364703474,0.01777362997803695
319.23949494949494,0.0008927029765407761,0.016823689015965298
321.20272727272726,0.0008998453454154817,0.015928002187533017
323.1659595959596,0.0009072505388651522,0.015082731023310645
325.1291919191919,0.0009149383097843499,0.014284334688199342
327.0924242424242,0.0009229306698805263,0.01352954239337778
329.05565656565653,0.0009312522537787762,0.012815328344785543
331.01888888888885,0.0009399307620649648,0.012138888888474572
332.9821212121212,0.0009489975051042512,0.011497621570983689
334.94535353535355,0.0009584880767929304,0.010889105833553939
336.90858585858587,0.000968443197611652,0.010311085067549273
338.8718181818182,0.0009789097807865897,0.009761449751880228
340.8350505050505,0.0009899422961075156,0.009238221384748689
342.7982828282828,0.001001604536276391,0.00873953684113195
344.76151515151514,0.0010139719359144909,0.008263632793132329
346.72474747474746,0.001027134662458857,0.007808829629953778
348.6879797979798,0.0010412018062347034,0.007373514127758339
350.6512121212121,0.0010563071717801422,0.006956119888319999
352.6144444444444,0.001072617463167468,0.006555103848196664
354.57767676767673,0.0010903441607119921,0.006168916322834637
356.54090909090905,0.0011097613002960449,0.005795960213208858
358.5041414141414,0.0011312331123859167,0.005434531649605886
360.4673737373737,0.0011552590296975388,0.005082727516440206
362.430606060606,0.0011825513785234272,0.0047382904186552026
364.39383838383833,0.001214179968384196,0.0043983260391478604
366.35707070707065,0.0012518696914158155,0.004058731589591499
368.32030303030297,0.0012987065714308217,0.0037128664680912008
370.2835353535353,0.0013612225650802758,0.00334773321987937
372.24676767676766,0.001458418710510884,0.0028559297951290374
374.21,0.001953506728584077,0.001953506728584077
