Pressure (Pa),Enthalpy Vapor (J/kg)
172471.506938103,1580134.492592987
176602.06715558463,1580853.9145565908
180811.30307213461,1581570.0478872093
185100.28269517733,1582282.8734489908
189470.08147076843,1582992.3719725322
193921.78226013595,1583698.5240511068
198456.47531225107,1584401.3101369413
203075.258238671,1585100.7105375489
207779.2359844652,1585796.7054121098
212569.52080498636,1586489.2747679127
217447.23223552195,1587178.3984568424
222413.49706553714,1587864.0561719295
227469.4493097682,1588546.227443954
232616.23018030828,1589224.8916381074
237854.9880614922,1589900.0279507074
243186.87847708038,1590571.6154059772
248613.06406204315,1591239.6328528752
254134.71453934,1591904.0589619882
259753.00668466382,1592564.8722224801
265469.12429945776,1593222.050939095
271284.2581842642,1593875.5732292228
277199.60610557604,1594525.4170200163
283216.37276791444,1595171.56004557
289335.769785941,1595813.979844147
295559.015650933,1596452.6537554683
301887.33570635546,1597087.5589180472
308321.96211364435,1597718.6722665855
314864.13382307056,1598345.9705294147
321515.09654690407,1598969.4302259877
328276.10272540106,1599589.0276644256
335148.41150116525,1600204.738939103
342133.2886835656,1600816.539928287
349232.00672562537,1601424.4062918185
356445.84468753444,1602028.3134688318
363776.08821231534,1602628.2366755235
371224.0294914698,1603224.1509029532
378790.96723930526,1603816.0309148862
386478.2066587453,1604403.851245667
394287.05941530236,1604987.586198133
402218.8436058247,1605567.2098415494
410274.8837290021,1606142.6960095821
418456.5106559004,1606714.0182982911
426765.061602257,1607281.1500641513
435201.8800954297,1607844.064422092
443768.31595012423,1608402.734243558
452465.72523544263,1608957.1321545874
461295.4702484134,1609507.2305339007
470258.9194841831,1610053.001511001
479357.44760818937,1610594.4169642916
488592.43542787497,1611131.4485191822
497965.2698630373,1611664.0675462172
507477.34392031,1612192.2451591897
517130.0566648474,1612715.9522132594
526924.813188591,1613235.1593030633
536863.0245907576,1613749.8367608166
546946.1079442087,1614259.9546544042
557175.486271183,1614765.4827854524
567552.5885157427,1615266.3906873886
578078.849519521,1615762.6476234738
588755.7099929056,1616254.222584814
599584.6164910047,1616741.0842883433
610567.0213872244,1617223.201174774
621704.3828479948,1617700.5414065153
632998.1648101041,1618173.0728655492
644449.836951558,1618640.7631512727
656060.8746707054,1619103.5795782837
667832.7590623007,1619561.4891741336
679766.9768931587,1620014.4586770139
691865.0205756533,1620462.454533396
704128.3881517734,1620905.4428956097
716558.583263976,1621343.3896193563
729157.115136062,1621776.2602611643
741925.4985509422,1622204.02007576
754865.2538289853,1622626.6340133823
767977.9068066652,1623044.0667170023
781264.988817078,1623456.2825194774
794728.036667609,1623863.2454406093
808368.5926230903,1624264.9191841148
822188.2043840811,1624661.2671345088
836188.4250678841,1625052.2523538826
850370.8131926336,1625437.8375785877
864736.9326574074,1625817.9852158087
879288.3527233573,1626192.6573400311
894026.648000706,1626561.8156893903
908953.3984281502,1626925.4216619094
924070.1892594802,1627283.436311609
939378.6110481622,1627635.8203444905
954880.2596301707,1627982.5341143915
970576.7361118562,1628323.5376187044
986469.646854783,1628658.7904939502
1002560.6034650041,1628988.252011213
1018851.2227763184,1629311.8810714222
1035343.1268409872,1629629.6362004804
1052037.942917904,1629941.4755442254
1068937.3034625242,1630247.3568632428
1086042.846113204,1630547.2375274918
1103356.2136867784,1630841.074510763
1120879.054165935,1631128.8243849599
1138613.0206910064,1631410.4433141872
1156559.771555344,1631685.8870486503
1174720.9701965367,1631955.1109183594
1193098.285187799,1632218.069826629
1211693.3902387472,1632474.7182433654
1230507.9641848374,1632725.010198146
1249543.6909865132,1632968.8992730707
1268802.2597248722,1633206.3385953873
1288285.3646003092,1633437.2808298853
1307994.704931493,1633661.6781710451
1327931.9851514876,1633879.4823349388
1348098.9148116917,1634090.6445508797
1368497.2085807384,1634295.1155528056
1389128.5862478027,1634492.8455703931
1409994.7727230452,1634683.784319893
1431097.4980434282,1634867.8809946822
1452438.4973771353,1635045.0842555205
1474019.5110290307,1635215.3422205043
1495842.284444998,1635378.6024547091
1517908.5682230527,1635534.8119595097
1540220.1181200682,1635683.917161577
1562778.6950613111,1635825.86390153
1585586.0651516428,1635960.597422238
1608643.9996864274,1636088.0623567684
1631954.275165869,1636208.2027159615
1655518.6733068912,1636320.9618756233
1679338.9810603212,1636426.2825633276
1703416.9906277172,1636524.1068448168
1727754.499474932,1636614.376109976
1752353.3103553357,1636697.0310583957
1777215.2313268897,1636772.0116844738
1802342.0757771488,1636839.2572620765
1827735.6624401337,1636898.706328722
1853397.8154267385,1636950.2966692823
1879330.3642436797,1636993.9652991863
1905535.1438271534,1637029.6484471061
1932013.9945643595,1637057.2815371177
1958768.7623286499,1637076.7991703022
1985801.2985069812,1637088.135105796
2013113.4600345795,1637091.2222412403
2040707.1094293874,1637085.9925926432
2068584.114826761,1637072.3772736087
2096746.350016967,1637050.3064739236
2125195.694487352,1637019.7094374797
2153934.033459028,1636980.5144395109
2182963.2579341447,1636932.6487631144
2212285.264736327,1636876.0386750407
2241901.9565603887,1636810.6094007192
2271815.242018052,1636736.2850984975
2302027.035691634,1636652.988833071
2332539.2581829885,1636560.6425480575
2363353.836170637,1636459.1670377066
2394472.7024622234,1636348.4819177056
2425897.7960597207,1636228.5055950377
2457631.062213143,1636099.1552368759
2489674.4524888517,1635960.3467384654
2522029.924831807,1635811.994689956
2554699.443635612,1635654.0123421631
2587684.9798111776,1635486.311571182
2620988.5108598163,1635308.8028418499
2654612.020949408,1635121.3951699876
2688557.500989749,1634923.9960833741
2722826.9487175355,1634716.5115814207
2757422.36877465,1634498.8460934751
2792345.772800178,1634270.9024357058
2827599.179510749,1634032.581766528
2863184.614803967,1633783.783540467
2899104.111843725,1633524.4054604582
2935359.711165945,1633254.3434284527
2971953.4607729656,1632973.4914943196
3008887.416245094,1632681.741802917
3046163.6408447847,1632378.984539302
3083784.2056314205,1632065.1078719653
3121751.1895740754,1631739.9978940221
3160066.6796713877,1631403.5385622731
3198732.771076396,1631055.6116340274
3237751.567221692,1630696.096601596
3277125.179951627,1630324.8706243604
3316855.729655492,1629941.808458288
3356945.345409777,1629546.7823827942
3397396.1651206836,1629139.662124814
3438210.3356721024,1628720.3147799806
3479390.0130804535,1628288.6047307267
3520937.362650015,1627844.393561231
3562854.559139182,1627387.539968983
3605143.786925233,1626917.8996728736
3647807.2401827993,1626435.3253175782
3690847.123055593,1625939.666374126
3734265.6498474684,1625430.7690363692
3778065.04520962,1624908.476113254
3822247.5443381853,1624372.626916584
3866815.3931751894,1623823.0571441276
3911770.8486204306,1623259.5987577701
3957116.178744566,1622682.0798564882
4002853.663013335,1622090.324543862
4048985.5925165126,1621484.1527898451
4095514.2702063173,1620863.380286481
4142442.0111395884,1620227.8182972302
4189771.14273277,1619577.2734995922
4237504.00502206,1618911.5478206156
4285642.950932929,1618230.4382649248
4334190.346557075,1617533.7367348424
4383148.571442278,1616821.2298421457
4432520.018886469,1616092.6987109827
4482307.096246298,1615347.918771421
4532512.225254444,1614586.6595430933
4583137.842345906,1613808.684408297
4634186.398999287,1613013.7503739442
4685660.362085618,1612201.6078216142
4737562.214232458,1611372.0002449704
4789894.454199911,1610524.6639736898
4842659.597269051,1609659.327882995
4895860.1756461505,1608775.7130877739
4949498.738880126,1607873.5326202305
5003577.854295308,1606952.4910897969
5058100.107443484,1606012.2843240146
5113068.102568223,1605052.598988924
5168484.463091295,1604073.1121873152
5224351.83211565,1603073.491033063
5280672.87295069,1602053.392199598
5337450.269655166,1601012.4614403113
5394686.727607774,1599950.3330785143
5452384.974096891,1598866.6294643264
5510547.758936433,1597760.9603955762
5569177.855110973,1596632.9224995868
5628278.059658464,1595482.0985378888
5687851.193438018,1594308.0568496715
5747900.103415374,1593110.3503439105
5808427.662264777,1591888.5158739763
5869436.769507709,1590642.073310877
5930930.352351802,1589370.5246054821
5992911.366572784,1588073.3527798306
6055382.797434601,1586750.0208412467
6118347.660658063,1585399.9706126954
6181809.003440108,1584022.6214719913
6245769.905518128,1582617.368992197
6310233.480294609,1581183.583474601
6375202.876015619,1579720.6083651667
6440681.277013987,1578227.7585443645
6506671.90501702,1576704.3184795
6573178.02052265,1575149.5402275443
6640202.924253926,1573562.6412752473
6707749.958690089,1571942.8022020129
6775822.509686221,1570289.1641492248
6844424.008184202,1568600.8260780135
6913557.932021812,1566876.8417951064
6983227.807850318,1565116.2167237888
7053437.213168262,1563317.9043940443
7124189.778478998,1561480.802622278
7195489.189585545,1559603.749346804
7267339.189945022,1557685.518099447
7339743.583724355,1555724.8129345605
7412706.237681856,1553720.2631662055
7486231.08504867,1551670.4171832304
7560322.128271028,1549573.7359435665
7634983.442529792,1547428.5856646814
7710219.179434742,1545233.2297501361
7786033.571006322,1542985.8198230162
7862430.933980025,1540684.3857368825
7939415.6744716065,1538326.824412165
8016992.2930404,1535910.8873186081
8095165.39020054,1533434.1663910653
8173939.672431102,1530894.0781262221
8253319.958751343,1528287.8455586394
8333311.18792284,1525612.477755435
8413918.426364444,1522864.7463945576
8495146.876871567,1520041.158901394
8577001.888241485,1517137.9275040114
8659488.965930939,1514150.9334250877
8742613.783887181,1511075.6852479188
8826382.19771725,1507907.2702633676
8910800.25938965,1504640.2973090534
8995874.233696312,1501268.8292279039
9081610.616747038,1497786.3025711651
9168016.156813253,1494185.4315069322
9255097.877909213,1490458.092007998
9342863.106570765,1486595.1811946037
9431319.502395526,1482586.4450675317
9520475.093031324,1478420.2655925204
9610338.314458549,1474083.3948979855
9700918.057622507,1469560.6197725795
9792223.72273707,1464834.3329922669
9884265.282942636,1459883.9781297776
9977053.359467521,1454685.3195250996
10070599.311099168,1449209.4658387194
10164915.341641568,1443421.53849126
10260014.630284779,1437278.8151901276
10355911.491564738,1430728.0745244524
10452621.574151712,1423701.6823660347
10550162.11151985,1416111.6151931754
10648552.24338406,1407839.9320466483
10747813.436081622,1398722.7560580163
10847970.045579633,1388521.4592693513
10949050.0946725,1376865.964296795
11051086.393007655,1363128.2023971467
11154118.278648317,1346079.144987955
11258194.909666725,1322557.9208914726
11363391.162815327,1247802.1607166026
