Pressure (Pa),Enthalpy Vapor (J/kg)
20724.607810770038,2610277.9549960517
21632.47657511136,2611902.0095121493
22573.948413618473,2613523.4979432872
23550.018231036625,2615142.3745526383
24561.7019097958,2616758.5931687537
25610.03662005496,2618372.1071854047
26696.080945212932,2619982.8695613667
27820.915132821872,2621590.8328201403
28985.641256302893,2623195.9490496796
30191.38347826284,2624798.1699020816
31439.288221275623,2626397.446593324
32730.524386269455,2627993.7299029557
34066.28344171007,2629586.9701739065
35447.7798329466,2631177.1173123284
36876.25100855561,2632764.1207874357
38352.95756455549,2634347.9296315713
39879.18358996308,2635928.492440259
41456.23670542531,2637505.75737244
43085.44837170356,2639079.672150817
44768.1739065948,2640650.184062401
46505.792783005054,2642217.239959145
48299.70874591804,2643780.78625879
50151.34998006033,2645340.7689460195
52062.16926504241,2646897.133573574
54033.6441511837,2648449.8252638974
56067.27709510914,2649998.788710695
58164.59560955388,2651543.9681810085
60327.15244441931,2653085.307517406
62556.52565433948,2654622.7501403615
64854.318841753244,2656156.239051137
67222.16120845405,2657685.7168346737
69661.70772532039,2659211.1256629424
72174.63924300838,2660732.40729847
74762.66265795083,2662249.5030982425
77427.51097685398,2663762.354017854
80170.94348209255,2665270.9006158486
82994.74582126166,2666775.0830585533
85900.73012597344,2668274.841124993
88890.73514404675,2669770.1142121744
91966.6262771904,2671260.841340696
95130.29575804665,2672746.961160502
98383.6627039445,2674228.4119570004
101728.67321980884,2675705.131657367
105167.3004837207,2677177.057837173
108701.54485525863,2678644.127727126
112333.43393220214,2680106.2782201623
116065.02262802707,2681563.445878638
119898.39327958113,2683015.5669417647
123835.65569620585,2684462.5773332333
127878.94722117689,2685904.4126689616
132030.43281257898,2687341.00826501
136292.30511553283,2688772.2991456212
140666.78449674207,2690198.2200513678
145156.11909461077,2691618.7054473823
149762.58492765314,2693033.6895316704
154488.4858513344,2694443.1062434595
159336.15370907835,2695846.889271587
164307.94827815966,2697244.9720628895
169406.2573687762,2698637.2878305786
174633.4968475826,2700023.7695625895
179992.1106547088,2701404.350029857
185484.57085365028,2702778.9617945277
191113.3776387957,2704147.5372180603
196881.05939104955,2705510.0084692105
202790.1726306482,2706866.3075318644
208843.3021302158,2708216.366212706
215043.06084711113,2709560.116148704
221392.08998685755,2710897.4888126673
227893.05896548205,2712228.415528856
234548.66547238437,2713552.8274626387
241361.63542524935,2714870.6556441546
248334.72300968145,2716181.8309659744
255470.71062180062,2717486.284190749
262772.40891637246,2718783.945956806
270242.65679571196,2720074.746783412
277884.321373177,2721358.6170756724
285700.29796087113,2722635.487129066
293693.5100848971,2723905.2871335703
301866.9094438454,2725167.9471774073
310223.47589921183,2726423.39725036
318766.21744539804,2727671.567246659
327498.1701769532,2728912.3869674355
336422.3983167332,2730145.7861227263
345541.9941190885,2731371.694333007
354860.0778610284,2732590.0411302745
364379.79782313923,2733800.7559586386
374104.3302646086,2735003.7681744425
384036.87933782954,2736199.0070458893
394180.67712553905,2737386.4017521786
404538.9835171916,2738565.8813821524
415115.08624137705,2739737.374932429
425912.30076046236,2740900.8113050493
436933.9702749158,2742056.1193046183
