Pressure (Pa),Specific Volume Liquid (m^3/kg)
1229.022188053574,0.0010003463721825687
1306.1871525583583,0.0010004320094634672
1387.5857501514242,0.0010005285497532456
1473.414589394584,0.001000635744026802
1563.8773479021609,0.0010007533551148436
1659.1853070569632,0.0010008811569796158
1759.557338731402,0.0010010189340467766
1865.2204109346944,0.0010011664805877453
1976.4091723406368,0.0010013236001483645
2093.3667815044646,0.001001490105019118
2216.3448891886146,0.0010016658157438179
2345.603628256421,0.0010018505606636408
2481.4122093518636,0.0010020441754925388
2624.0486526862796,0.0010022465029226177
2773.8004665069484,0.0010024573922557962
2930.964719680146,0.0010026766990608974
3095.847914815241,0.0010029042848529
3268.7665798530816,0.00100314001679336
3450.0474404735683,0.0010033837674100826
3640.027437172317,0.0010036354143347504
3839.054300271901,0.0010038948400566397
4047.4861662826315,0.0010041619316922448
4265.692419374685,0.0010044365807681968
4494.05357805096,0.001004718683017654
4732.961527943673,0.0010050081381892005
4982.819873973647,0.0010053048498661974
5244.044017708712,0.0010056087252973197
5517.061515803334,0.0010059196752364881
5802.312166458625,0.0010062376137919165
6100.248332809871,0.0010065624582839567
6411.335046738497,0.001006894129110448
6736.050424053715,0.0010072325496195225
7074.885618143329,0.0010075776459897157
7428.345434589963,0.0010079293471160133
7796.947981902563,0.0010082875845024376
8181.225519306374,0.0010086522921598313
8581.724272259427,0.001009023406509448
8999.00467229951,0.0010094008662912663
9433.64184321962,0.001009784612476912
9886.22550378928,0.00101017458818746
10357.360392690971,0.0010105707386148138
10847.66643766937,0.0010109730109473844
11357.778901402999,0.0010113813542993691
11888.34871937081,0.0010117957196433883
12440.042625616046,0.0010122160597466352
13013.543444029057,0.0010126423291098518
13609.550199938607,0.0010130744839094439
14228.778405708144,0.001013512481942296
14871.960307293233,0.0010139562825730928
15539.844987975817,0.0010144058466842803
16233.198560428133,0.0010148611366283394
16952.80467049599,0.0010153221161820583
17699.464283097655,0.0010157887505032655
18473.996135443256,0.0010162610060893264
19277.236954290984,0.0010167388507374892
20110.04152593227,0.0010172222535072266
20973.28298622742,0.0010177111846841414
21867.853015838264,0.0010182056157454645
22794.66190975262,0.0010187055193273005
23754.63903709621,0.0010192108691930051
24748.73275172376,0.001019721640203327
25777.91073711124,0.0010202378082876076
26843.160211004226,0.0010207593504163285
27945.48793994867,0.0010212862445749405
29085.920608252654,0.0010218184697387504
30265.504960858227,0.0010223560058489139
31485.307875981605,0.001022898833789506
32746.41667697788,0.0010234469353656247
34049.93916266937,0.0010240002932823782
35397.00394840678,0.0010245588911248311
36788.76048419281,0.0010251227133387412
38226.37928217978,0.001025691745212321
39711.05210606028,0.0010262659728585903
41243.99205389397,0.0010268453831986165
42826.4337835851,0.0010274299639454682
44459.63364265583,0.0010280197035888038
46144.86982775479,0.0010286145913802657
47883.44250464624,0.0010292146173193914
49676.67399502803,0.0010298197721402165
51525.90888873018,0.0010304300472984878
53432.51420115642,0.0010310454349593357
55397.87948243317,0.0010316659279856854
57423.41702271708,0.001032291519927028
59510.56184972034,0.0010329222050087772
61660.7720241935,0.0010335579781221031
63875.52863406936,0.0010341988348142495
66156.33596829636,0.0010348447712792905
68504.72163084887,0.001035495784349339
70922.23666539669,0.0010361518714861503
73410.45564632583,0.0010368130307731953
75970.97680383714,0.0010374792609080304
78605.42210765471,0.0010381505611951859
81315.4374444808,0.0010388269315392412
84102.69259926697,0.0010395083724384642
86968.88144847023,0.0010401948849786187
89915.72202782355,0.001040886470827182
92944.95658990843,0.0010415831322279445
96058.35175584132,0.0010422848719957715
99257.69853605458,0.0010429916935118322
102544.81245054008,0.0010437036007190082
105921.53361672738,0.0010444205981176428
109389.72677817766,0.0010451426907615792
112951.28140600731,0.001045869884254448
116608.11179437944,0.0010466021847461556
120362.15708987511,0.001047339598929803
124215.38135320364,0.001048082134038694
128169.7736399023,0.0010488297978436386
132227.34807451157,0.0010495825986505183
136390.14383560925,0.0010503405452980787
140660.22530708904,0.0010511036471559233
145039.6820365889,0.001051871914122772
149530.62884296838,0.0010526453566248929
154135.20582048624,0.0010534239856147863
158855.57839932787,0.0010542078125701172
163693.9373811857,0.0010549968494926974
168652.49897711654,0.0010557911089078876
173733.50483180644,0.0010565906038640211
178939.22204116324,0.0010573953479321562
184271.9432224735,0.0010582053552058873
189733.9864749706,0.0010590206403015203
195327.6954679058,0.0010598412183582455
201055.43940955162,0.001060667105038659
206919.61307214882,0.0010614983165293823
212922.636848224,0.0010623348695418442
219066.95667855546,0.001063176781313383
225355.04417277395,0.0010640240696083046
231789.39647733228,0.0010648767527193627
238372.53643148782,0.0010657348494692012
245107.01242648417,0.0010665983792121332
251995.39851574,0.0010674673618359908
259040.29435127688,0.001068341817764206
266244.3251823222,0.0010692217679580506
273610.14188052167,0.0010701072339190203
281140.4208960594,0.0010709982376914363
288837.864254101,0.0010718948018652176
296705.19954337704,0.0010727969495787496
304745.1799308307,0.0010737047045220353
