Pressure (Pa),Specific Volume (m^3/kg)
1229.022188053574,0.0010003463721825687
1566.6932205785674,0.0010007570792850422
1983.330777349318,0.0010013334260312611
2494.092740773138,0.0010020622111812216
3116.3733510815973,0.0010029324271450938
3870.021377876549,0.0010039348184534304
4777.5638296385005,0.001005061548792332
5864.4352053608545,0.001006305945852414
7159.210444030532,0.001007662303019144
8693.83979584829,0.0010091257233106293
10503.884627467152,0.0010106919952103301
12628.752398647752,0.0010123574929257727
15111.929355398894,0.0010141190955938514
18001.209613477862,0.0010159741213556495
21348.919002292372,0.0010179202732258762
25212.132757210602,0.0010199555944091412
29652.885361280016,0.0010220784312520376
34738.371820062195,0.0010242874024190348
40541.139284032506,0.0010265813731824356
47139.26787910366,0.0010289594339474037
54616.54042028499,0.001031420882310416
63062.59997390489,0.0010339652080884436
72573.09515976724,0.0010365920808648856
83249.81247306426,0.001039301339684715
95200.79565377677,0.0010420929846001962
108540.45180506399,0.0010449671698241657
123389.64438330819,0.0010479241982930905
139875.77307088306,0.0010509645174790105
158132.84070375707,0.0010540887163200203
178301.5076743855,0.0010572975231643873
200529.13399451,0.0010605918046448523
224969.80957623196,0.0010639725654177836
251784.37322308592,0.0010674409487177385
281140.4208960594,0.0010709982376914363
313212.3037603158,0.001074645857487837
348181.1168921628,0.0010783853780914274
386234.67920656403,0.001082218517896712
427567.5053197065,0.001086147148031146
472380.7702458636,0.0010901732974432084
520882.2676473566,0.0010942991587815606
573286.362475593,0.0010985270951007304
629813.9388083755,0.0011028596474381613
690692.3438135104,0.00110729954331797
756155.3286977552,0.0011118497062475644
826442.9874406367,0.001116513266285246
901801.6943360141,0.0011212935717701366
982484.0411504623,0.0011261942023205154
1068748.7748783352,0.0011312189832231507
1160860.7369918707,0.0011363720013551723
1259090.8052208168,0.001141657622801493
1363715.838655918,0.0011470805123556765
1475018.6274569663,0.0011526456551205998
1593287.8479204155,0.001158358380458884
1718818.0241738036,0.0011642243885815634
1851909.4975416535,0.0011702497801092276
1992868.4047982942,0.001176441088993154
2142006.6665572366,0.0011828053192472756
2299641.987230327,0.0011893499860161575
2466097.8674744894,0.001196083161594769
2641703.632227548,0.0012030135271164704
2826794.473560459,0.0012101504307627023
3021711.5126299895,0.0012175039534880736
3226801.8812598074,0.0012250849834485203
3442418.8264804725,0.0012329053005361572
3668921.8394969734,0.00124097767270167
3906676.813095897,0.0012493159660694666
4156056.230111953,0.0012579352712622476
4417439.386881245,0.0012668520488500806
4691212.655935332,0.0012760842974603851
4977769.7927345615,0.0012856517488592303
5277512.292008914,0.0012955760952843196
5590849.800075027,0.0013058812555342006
5918200.590567587,0.0013165936878730662
6259992.112196977,0.0013277427598017354
6616661.6187272165,0.0013393611873152979
6988656.8932335675,0.0013514855596186608
7376437.081041864,0.0013641569696866659
7780473.648781566,0.0013774217769498543
8201251.490737896,0.0013913325363764906
8639270.208673708,0.001405949139249176
9095045.597628195,0.0014213402264925384
9569111.378678761,0.001437584957931048
10062021.230659004,0.0014547752544426917
10574351.187424336,0.0014730186817196891
11106702.485975413,0.0014924422268065812
11659704.9744263,0.001513197354325525
12234021.217160735,0.0015354669592635998
12830351.461496687,0.0015594752321004702
13449439.664793853,0.001585502155961152
14092080.771811698,0.0016139056151643807
14759129.425209671,0.0016451563720368922
15451510.216526937,0.001679895337447196
16170229.57326243,0.0017190302789728351
16916389.859563783,0.0017639034348671478
17691209.11720904,0.001816587135404252
18496062.200272717,0.0018804050262316225
19332604.9864189,0.0019608487712734477
20203171.191816904,0.0020678153795915186
21111670.021154225,0.0022310490085654406
22064000.00000115,0.0031055900621118006
