Pressure (Pa),Specific Volume Vapor (m^3/kg)
1229.022188053574,106.23573416438022
1306.1871525583583,100.2781469515613
1387.5857501514242,94.69526360188969
1473.414589394584,89.46117088585282
1563.8773479021609,84.55189970673432
1659.1853070569632,79.9452684098461
1759.557338731402,75.62073955725499
1865.2204109346944,71.55928894140159
1976.4091723406368,67.7432857289009
2093.3667815044646,64.15638273174382
2216.3448891886146,60.783415898541485
2345.603628256421,57.61031220416321
2481.4122093518636,54.624005193390495
2624.0486526862796,51.81235750392558
2773.8004665069484,49.16408975675997
2930.964719680146,46.6687152586884
3095.847914815241,44.31648001272781
3268.7665798530816,42.09830757851911
3450.0474404735683,40.005748366436414
3640.027437172317,38.030932986893234
3839.054300271901,36.16652931045207
4047.4861662826315,34.4057029252853
4265.692419374685,32.74208070642173
4494.05357805096,31.169717236685237
4732.961527943673,29.683063842140616
4982.819873973647,28.276940025696547
5244.044017708712,26.94650710151183
5517.061515803334,25.68724384994318
5802.312166458625,24.494924028442693
6100.248332809871,23.365595587953404
6411.335046738497,22.295561457261535
6736.050424053715,21.281361769498666
7074.885618143329,20.319757415675628
7428.345434589963,19.407714819816515
7796.947981902563,18.54239183916416
8181.225519306374,17.72112470097215
8581.724272259427,16.94141589477993
8999.00467229951,16.200922945774497
9433.64184321962,15.497448000971517
9886.22550378928,14.8289281655711
10357.360392690971,14.193426531915271
10847.66643766937,13.589123848196271
11357.778901402999,13.014310778307221
11888.34871937081,12.467380708146544
12440.042625616046,11.946823057275951
13013.543444029057,11.451217058085854
13609.550199938607,10.979225967650462
14228.778405708144,10.529591680180939
14871.960307293233,10.101129710522066
15539.844987975817,9.692724521441358
16233.198560428133,9.303325169584303
16952.80467049599,8.93194124691505
17699.464283097655,8.577639096252769
18473.996135443256,8.239538281151713
19277.236954290984,7.916808291883282
20110.04152593227,7.6086654706715064
20973.28298622742,7.3143701406077195
21867.853015838264,7.033223923819001
22794.66190975262,6.764567235612487
23754.63903709621,6.507776942222014
24748.73275172376,6.262264170777828
25777.91073711124,6.027472260920007
26843.160211004226,5.802874848273614
27945.48793994867,5.587974070714871
29085.920608252654,5.38229888902146
30265.504960858227,5.1854035141078505
31485.307875981605,4.996865933642941
32746.41667697788,4.81628653125581
34049.93916266937,4.643286792234547
35397.00394840678,4.477508089828523
36788.76048419281,4.318610546765103
38226.37928217978,4.166271967151026
39711.05210606028,4.020186833862811
41243.99205389397,3.8800653674003605
42826.4337835851,3.745632641901565
44459.63364265583,3.616627754846048
46144.86982775479,3.492803046779726
47883.44250464624,3.3739233679224685
49676.67399502803,3.2597653886428004
51525.90888873018,3.150116950909094
53432.51420115642,3.044776458247759
55397.87948243317,2.943552301624743
57423.41702271708,2.8462623190626175
59510.56184972034,2.752733286841907
61660.7720241935,2.6628004403320857
63875.52863406936,2.5763070225387454
66156.33596829636,2.493103858767316
68504.72163084887,2.4130489556443617
70922.23666539669,2.3360071231005124
73410.45564632583,2.261849617881035
75970.97680383714,2.190453807238475
78605.42210765471,2.1217028516283087
81315.4374444808,2.055485405203446
84102.69259926697,1.9916953330989104
86968.88144847023,1.930231444445554
89915.72202782355,1.8709972401829804
92944.95658990843,1.8139006748263733
96058.35175584132,1.7588539313056406
99257.69853605458,1.7057732081494583
102544.81245054008,1.6545785182657742
105921.53361672738,1.6051934986467595
109389.72677817766,1.5575452303609634
112951.28140600731,1.5115640682322935
116608.11179437944,1.4671834796547478
120362.15708987511,1.4243398920005041
124215.38135320364,1.3829725481489086
128169.7736399023,1.343023369653012
132227.34807451157,1.3044368271251177
136390.14383560925,1.2671598174207117
140660.22530708904,1.2311415472442413
145039.6820365889,1.1963334228130156
149530.62884296838,1.162688945240547
154135.20582048624,1.1301636113205418
158855.57839932787,1.0987148194117782
163693.9373811857,1.06830178014181
168652.49897711654,1.0388854316638034
173733.50483180644,1.0104283592170085
178939.22204116324,0.982894718755459
184271.9432224735,0.956250164423623
189733.9864749706,0.9304617796703163
195327.6954679058,0.9054980118044443
201055.43940955162,0.8813286098074701
206919.61307214882,0.8579245652280728
212922.636848224,0.8352580559944417
219066.95667855546,0.8133023929891847
225355.04417277395,0.7920319692404539
231789.39647733228,0.7714222115914361
238372.53643148782,0.7514495347176412
245107.01242648417,0.7320912973695527
251995.39851574,0.7133257607240877
259040.29435127688,0.6951320487357437
266244.3251823222,0.6774901103837493
273610.14188052167,0.6603806837174159
281140.4208960594,0.6437852616075425
288837.864254101,0.6276860591164015
296705.19954337704,0.6120659824039428
304745.1799308307,0.5969085990921511
312960.5840678087,0.5821981100137289
321354.21616818313,0.5679193222755874
329928.90588932513,0.5540576235708266
338687.50836828956,0.5405989576769498
347632.9042134599,0.5275298010811665
356767.9993877548,0.5148371406768452
366095.72529548063,0.5025084524780143
375619.0386502404,0.4905316813019257
385340.9215202646,0.47889522137201485
395264.3812161702,0.467587897796315
405392.45034973114,0.45659894887860264
415728.18671403266,0.4459180092218341
426274.67328007496,0.43553509358563985
437035.0181704806,0.42544058146141095
448012.3545842903,0.41562520233052913
459209.8407787898,0.4060800215731692
470630.66001728084,0.3967964269964601
482278.02052222006,0.38776611595274807
494155.1554407337,0.37898108301992295
506265.32276626467,0.37043360821736504
518611.8053475261,0.3621162457322516
531197.9107691797,0.3540218131324634
544026.971361585,0.3461433810431885
557102.3440971754,0.33847426326586044
570427.4105841632,0.3310080073187958
584005.576997635,0.32373838538011124
597840.2739988407,0.31665938561443857
611934.9567302344,0.3097652038658106
626293.1047099107,0.30305023569993794
640918.2218158637,0.29650906878010375
655813.8362005451,0.2901364755614335
670983.5002642657,0.2839274062891517
686430.7905550136,0.2778769822872071
702159.3077528683,0.27198048952414167
718172.676586691,0.2662333724438644
734474.5457953284,0.260631228049481
751068.5880356244,0.25516980022894886
767958.4998706558,0.2498449743118747
785148.0016529993,0.2446527718472147
802640.8375314119,0.23958934559216108
820440.7753285883,0.2346509747030387
838551.6065305308,0.22983406011925647
856977.1461902593,0.2251351201320667
875721.2329054169,0.22055078612995352
894787.7287231362,0.2160777985131594
914180.5190992963,0.21171300276995472
933903.5128537181,0.2074533457077805
953960.642078565,0.20329587183258205
974355.8621172277,0.199237719870046
995093.1514720712,0.19527611942269466
1016176.511770529,0.19140838775708693
1037609.9677166122,0.1876319267156193
1059397.567004103,0.18394421974772218
1081543.380286187,0.18034282905537777
1104051.501113452,0.17682539284823479
1126926.0458895536,0.17338962270374464
1150171.153794629,0.17003330102793088
1173790.9867635202,0.16675427861265113
1197789.7294173357,0.16355047228536257
1222171.589016282,0.1604198626475768
1246940.7954125954,0.1573604918984032
1272101.601004114,0.15437046173964672
1297658.2806858202,0.1514479313592011
1323615.1318021892,0.1485911154895064
1349976.47411545,0.14579828253807212
1376746.6497455179,0.14306775278714345
1403930.0231388207,0.1403978966597254
1431530.981035542,0.13778713304932064
1459553.9324169443,0.13523392771083026
1488003.3084824136,0.1327367917101617
1516883.5625956345,0.13029427993025988
1546199.1702834335,0.12790498963129254
1575954.6291692848,0.12556755906285283
1606154.458973708,0.1232806661261645
1636803.201464144,0.12104302708430142
1667905.4204488108,0.11885339531856091
1699465.7017437615,0.11671056012918911
1731488.6531404252,0.11461334557873722
1763978.9044188506,0.11256060937640318
1796941.1073006366,0.11055124180177253
1830379.9354453029,0.10858416466644731
1864300.0844480968,0.10665833031210349
1898706.2718160267,0.10477272064360552
1933603.2369732368,0.10292634619581639
1968995.741245476,0.10111824523284123
2004888.5678783157,0.09934748287846688
2041286.522016556,0.09761315027663586
2078194.430728417,0.09591436378080315
2115617.14299534,0.09425026417110975
2153559.5297443797,0.09262001589832644
2192026.483843886,0.09102280635357202
2231022.920133113,0.08945784516284139
2270553.7755348934,0.08792436350544003
2310624.008650348,0.08642161345542185
2351238.600505599,0.08494886734520457
2392402.554046358,0.08350541715052918
2434120.8943296615,0.08209057389599456
2476398.6685602395,0.08070366708041565
2519240.946132209,0.07934404412127814
2562652.8186830366,0.07801106981760418
2606639.4001389975,0.07670412583055201
2651205.8267750544,0.0754226101811349
2696357.2572738426,0.07416593676440451
2742098.872794889,0.07293353487955516
2788435.877035435,0.07172484877533543
2835373.496321017,0.07053933721025704
2882916.979669946,0.06937647302705546
2931071.598887787,0.06823574274090669
2979842.6486505475,0.0671166461408986
3029235.44660906,0.06601869590432204
3079255.3334838348,0.06494141722329526
3129907.6731726667,0.06388434744331133
3181197.8528662343,0.06284703571329167
3233131.282978793,0.06182904264673589
3285713.397947695,0.06082993999358095
3338949.6554370895,0.05984931032242341
3392845.537054536,0.05888674671271366
3447406.548347744,0.057941852456593175
3502638.218970794,0.05701424077006269
3558546.102833541,0.05610353451311922
3615135.7782716583,0.0552093659186005
3672412.848216104,0.054331376329410076
3730382.940377189,0.05346921594385112
3789051.7074382594,0.052622543568798426
3848424.8272438133,0.051791026380423474
3908508.0030021826,0.05097433969224506
3969306.963519266,0.05017216673024737
4030827.463398005,0.04938419841481555
4093075.283286009,0.0486101331492906
4156056.230111953,0.047849676614891784
4219776.13733533,0.04710254157181948
4284240.865205586,0.04636844766631705
4349456.301043354,0.04564712124350634
4415428.359513782,0.04493829516579804
4482162.982918252,0.04424170863669934
4549666.141504988,0.04355710702983438
4617943.833779762,0.04288424172301951
4687002.086831626,0.04222286993721232
4756846.956680672,0.04157275458019033
4827484.528619615,0.04093366409479158
4898920.917587221,0.04030537231158546
4971162.26853956,0.039687658305812154
5044214.756852835,0.03908030625846933
5118084.588715833,0.0384831053213956
5192778.001565736,0.037895849486241785
5268301.264511982,0.03731833745718527
5344660.678794031,0.03675037252727848
5421862.578253448,0.036191762458316984
5499913.329811938,0.03564231936410376
5578819.333973626,0.03510185959700826
5658587.025350858,0.03457020363771683
5739222.8731963,0.034047175988069465
5820733.381965021,0.033532605066879786
5903125.091883369,0.03302632310864865
5986404.579556778,0.03252816606508668
6070578.458580173,0.03203797350933089
6155653.3801785875,0.03155558854280198
6241636.033872958,0.031080857704589036
6328533.148164482,0.03061363088330015
6416351.491239721,0.03015376123129001
6505097.871712668,0.029701105081190764
6594779.1393788215,0.029255521864672514
6685402.18600755,0.028816874033359117
6776973.9461581055,0.028385026981834514
6869501.3980179345,0.02795984897266245
6962991.564280851,0.02754121106336065
7057451.513055518,0.027128987035268667
7152888.358800041,0.026723053324230705
7249309.263292281,0.026323288953051926
7346721.436642516,0.02592957546565524
7445132.13833284,0.025541796862885394
7544548.678300164,0.025159839539903084
7644978.418052647,0.024783592225110757
7746428.7718436755,0.024412945920564904
7848907.207865069,0.02404779384380446
7952421.2495041555,0.023688031371061964
8056978.476639715,0.023333555981791685
8162586.526990926,0.02298426720447086
8269253.097508433,0.02264006656362041
8376985.945831865,0.02230085752799868
8485792.8917992,0.021966545459917393
8595681.819003139,0.02163703756562651
8706660.67642719,0.0213122428467281
8818737.480136719,0.020992072052564203
8931920.315036172,0.020676437633527847
9046217.336700259,0.02036525369525378
9161636.773280732,0.020058435953636808
9278186.927491162,0.019755901690624692
9395876.178670494,0.019457569710740325
9514712.984939054,0.019163360298272408
9634705.885440188,0.018873195175089688
9755863.50268398,0.018586997459019025
9878194.544985555,0.018304691622729276
10001707.809023075,0.01802620345306645
10126412.182485832,0.017751460010772088
10252316.646867767,0.017480389590524358
10379430.280368116,0.017212921681235192
10507762.260931943,0.01694898692652406
10637321.869432244,0.016688517085300548
10768118.492992416,0.0164314449923664
10900161.62847732,0.016177704518955314
11033460.88613895,0.015927230533113467
11168025.993436793,0.01567995885981588
11303866.799056157,0.015435826240714053
11440993.277099079,0.015194770293389795
11579415.531498345,0.014956729469984187
11719143.800637685,0.01472164301505501
11860188.462204345,0.014489450922509512
12002560.038789198,0.014260093891423985
12146269.201092819,0.014033513280564097
12291326.776861457,0.013809651061382393
12437743.754448602,0.01358844976924597
12585531.28957948,0.01336985245262239
12734700.711819056,0.013153802619913644
12885263.5313465,0.012940244183582842
13037231.446045503,0.01272912140118004
13190616.348936666,0.012520378812816283
13345430.33594165,0.012313961174555715
13501685.713999815,0.012109813387144152
13659395.00954163,0.01190788041937998
13818570.977321688,0.011708107225337584
13979226.60961838,0.011510438654520682
14141375.145796709,0.01131481935387068
14305030.082247294,0.011121193660372284
14470205.182688609,0.010929505482774306
14636914.48884271,0.010739698170674212
14805172.3314838,0.010551714368887775
14974993.341868158,0.010365495854617726
15146392.463566259,0.01018098335444443
15319384.96471708,0.009998116337542324
15493986.450768836,0.009816832780753139
15670212.877784114,0.009637068900201417
15848080.566452485,0.009458758842892814
16027606.217018139,0.009281834330216664
16208806.925438887,0.009106224243263149
16391700.201251566,0.008931854137312513
16576303.98783084,0.008758645669510668
16762636.686036602,0.008586515919329404
16950717.18268285,0.00841537657559954
