Pressure (Pa),Specific Volume (m^3/kg)
12914.96092416301,0.0013843903317053172
14899.972358443818,0.0013888783498324467
17136.077489305477,0.0013934044912427498
19647.75916025041,0.0013979706073366752
22461.086001410877,0.0014025785340138735
25603.747090449924,0.0014072300923063056
29105.083189092995,0.0014119270894004995
32996.11447767723,0.0014166713200436227
37309.56475038163,0.0014214645683234821
42079.882051811845,0.0014263086098090117
47343.2557799117,0.0014312052140353
53137.630276766795,0.0014361561473156597
59502.714998824275,0.001441163175862412
66479.99133640423,0.0014462280691980882
74112.71619997459,0.001451352603839287
82445.92250164598,0.001456538567236521
91526.41667686007,0.0014617877619548887
101402.77339548452,0.0014671020100822643
112125.32764833664,0.0014724831578537404
123746.16437246624,0.0014779330804834193
136319.10580804298,0.0014834536871970471
149899.69676737877,0.001489046926461582
164545.18802395882,0.0014947147914104132
180314.5179946964,0.0015004593254657236
197268.29291759263,0.001506282628162237
215468.7657127257,0.001512186861179524
234979.81370731123,0.001518174254592944
255866.91541206796,0.0015242471133563998
278197.1265088964,0.0015304078240332263
302039.0552410778,0.001536658861794842
327462.8373459411,0.0015430027977103454
354540.11069782474,0.0015494423063538703
383343.98981099104,0.0015559801737605676
413949.0403355777,0.0015626193057663154
446431.2536962737,0.0015693627367709569
480868.021992862,0.0015762136389699402
517338.11329721566,0.001583175332104849
555921.6474649466,0.0015902512937895558
596700.0725830703,0.0015974451704755912
639756.1421647639,0.0016047607891281346
685173.8932147108,0.001612202169692629
733038.6252720908,0.0016197735384419385
783436.8805468623,0.0016274793423049548
836456.4252717209,0.0016353242642902855
892186.232384602,0.001643313240132942
950716.4656665507,0.0016514514763084978
1012138.4654666677,0.0016597444695779899
1076544.7361507611,0.001668198028248617
1144028.9354115438,0.0016768182953603818
1214685.8656129967,0.001685611774037775
1288611.467311024,0.0016945853552794697
1365902.8151537576,0.0017037463484980474
1446658.116340144,0.0017131025151677975
1530976.7118591764,0.001722662105992189
1618959.080733548,0.0017324339020657312
1710706.8475323138,0.0017424272605793033
1806322.7934220028,0.0017526521657058492
1905910.871067081,0.0017631192854077184
2009576.223722004,0.0017738400350309764
2117425.208882577,0.0017848266487005063
2229565.4269227423,0.0017960922597075948
2346105.7551642973,0.0018076509912961925
2467156.3879089877,0.0018195180595132437
2592828.882992208,0.0018317098901036645
2723236.2155161137,0.0018442442518150416
2858492.8394695334,0.001857140408948958
2998714.758057259,0.0018704192965776506
3144019.6036603483,0.0018841037225658629
3294526.728463145,0.001898218601437621
3450357.306949212,0.0019127912262560417
3611634.4516307255,0.001927851586110099
3778483.343582119,0.0019434327386149296
3951031.379615143,0.001959571249154351
4129408.3382196436,0.001976307711592151
4313746.566798533,0.0019936873690805357
4504181.193179272,0.002011760858718325
4700850.365036741,0.0020305851106036067
4903895.52168333,0.002050224440920194
5113461.703835351,0.0020707518910073317
5329697.908581374,0.0020922508812191345
5552757.498966033,0.0021148172717598995
5782798.680632448,0.0021385619555607917
6019985.061283359,0.0021636141552237695
6264486.315072311,0.0021901256643088807
6516478.97673143,0.002218276374431223
6776147.401650482,0.002248281583181527
7043684.936077635,0.002280401817305226
7319295.359943371,0.002314956291028493
7603194.692715617,0.0023523417635409227
7895613.499853056,0.002393059683159243
8196799.915812961,0.0024377565631581535
8507023.729397131,0.002487286515539093
8826582.09566689,0.0025428130748596854
9155807.82051095,0.002605985663117135
9495081.873797575,0.0026792703790696907
9844853.22131439,0.0027666363588435363
10205672.289489228,0.0028751923951958617
10578252.692197021,0.0030200018570990888
10963601.858623479,0.003244785913664911
11363391.162815327,0.004287245409511206
