Temperature (K),Entropy Vapor (J/kg.K)
179.85,1912.0754554065359
181.8132323232323,1903.1135518094227
183.77646464646463,1894.514305549972
185.73969696969695,1886.2638250173247
187.7029292929293,1878.3487886118528
189.66616161616162,1870.7564122560036
191.62939393939394,1863.4744195475757
193.59262626262625,1856.4910143425668
195.55585858585857,1849.7948555677137
197.5190909090909,1843.3750340701022
199.4823232323232,1837.2210513555788
201.44555555555556,1831.3227999632304
203.40878787878788,1825.6705454482178
205.3720202020202,1820.254909715042
207.3352525252525,1815.0668555816403
209.29848484848483,1810.0976724939053
211.26171717171715,1805.3389632143067
213.2249494949495,1800.782631347642
215.18818181818182,1796.4208697045376
217.15141414141414,1792.2461492746004
219.11464646464646,1788.2512088040883
221.07787878787877,1784.429044868389
223.0411111111111,1780.7729023716956
225.0043434343434,1777.276265410256
226.96757575757573,1773.9328484436503
228.93080808080808,1770.736587726164
230.8940404040404,1767.6816329575279
232.85727272727271,1764.7623391189477
234.82050505050503,1761.97325846641
236.78373737373735,1759.309132658707
238.7469696969697,1756.7648850024475
240.71020202020202,1754.3356128004275
242.67343434343434,1752.0165797932702
244.63666666666666,1749.8032086870337
246.59989898989897,1747.6910737617636
248.5631313131313,1745.6758935575335
250.5263636363636,1743.7535236356373
252.48959595959593,1741.919949404554
254.45282828282825,1740.1712790658548
256.41606060606057,1738.5037365190622
258.3792929292929,1736.9136544623557
260.3425252525252,1735.3974674791082
262.3057575757575,1733.9517052006317
264.2689898989899,1732.572985519616
266.2322222222222,1731.258007845331
268.19545454545454,1730.0035463894158
270.15868686868686,1728.8064434826488
272.1219191919192,1727.6636028370463
274.0851515151515,1726.5719828779133
276.0483838383838,1725.528589959978
278.01161616161613,1724.530471547458
279.97484848484845,1723.5747092902152
281.93808080808077,1722.6584119666823
283.90131313131315,1721.778708253627
285.86454545454546,1720.9327392770497
287.8277777777778,1720.1176508920012
289.7910101010101,1719.330585631532
291.7542424242424,1718.5686742563146
293.71747474747474,1717.8290268262465
295.68070707070706,1717.108723203419
297.6439393939394,1716.4048028816653
299.6071717171717,1715.714254021086
301.570404040404,1715.034001545844
303.53363636363633,1714.3608941392642
305.49686868686865,1713.6916899410426
307.46010101010097,1713.023040715685
309.4233333333333,1712.3514742177704
311.3865656565656,1711.6733744259825
313.3497979797979,1710.9849592515216
315.31303030303025,1710.2822552438658
317.27626262626256,1709.561068713212
319.23949494949494,1708.8169525581502
321.20272727272726,1708.0451679206624
323.1659595959596,1707.2406395706566
325.1291919191919,1706.3979036970297
327.0924242424242,1705.5110462508383
329.05565656565653,1704.573629835884
331.01888888888885,1703.5786061324497
332.9821212121212,1702.518210253415
334.94535353535355,1701.3838321575977
336.90858585858587,1700.1658586481565
338.8718181818182,1698.853477193212
340.8350505050505,1697.4344297073696
342.7982828282828,1695.8946991731
344.76151515151514,1694.2181059547966
346.72474747474746,1692.3857789557826
348.6879797979798,1690.3754500152636
350.6512121212121,1688.1604948089887
352.6144444444444,1685.708596423812
354.57767676767673,1682.979833347233
356.54090909090905,1679.9238546717393
358.5041414141414,1676.4755446047657
360.4673737373737,1672.5480527266416
362.430606060606,1668.0209255474251
364.39383838383833,1662.7183536510129
366.35707070707065,1656.3652097361548
368.32030303030297,1648.4851239844265
370.2835353535353,1638.108598675419
372.24676767676766,1618.444254087775
374.21,1562.0991079055627
