Pressure (Pa),Specific Volume (m^3/kg)
1111.0846163323242,0.0006391285980017506
1343.1418406280832,0.0006412703035846822
1615.8276790484265,0.0006434305199416481
1934.8184736379862,0.000645609650188093
2306.36381783342,0.0006478081124602152
2737.317558791432,0.000650026340374093
3235.167970982402,0.0006522647835254012
3808.0669239428835,0.000654523908030766
4464.857860938568,0.0006568041971120653
5215.102432397769,0.0006591061517252209
6069.105634818949,0.0006614302912352853
7037.939332737776,0.0006637771541398885
8133.46404454173,0.0006661472988433951
9368.348910473305,0.0006685413044843978
10756.089759698842,0.0006709597718194961
12311.025229754669,0.0006734033241666111
14048.350894865769,0.0006758726084114562
15984.131390229311,0.0006783682960811334
18135.31052179719,0.0006808910844892323
20519.71938514708,0.0006834416979572297
23156.082513883135,0.0006860208891174578
26064.02210165144,0.0006886294403034117
29264.060356040936,0.0006912681650337037
32777.62004483091,0.0006939379095965957
36627.023316904015,0.0006966395547426664
40835.48887572302,0.0006993740174939246
45427.12760505336,0.0007021422530784439
50426.93674177607,0.0007049452570004885
55860.792701378086,0.0007077840672570588
61755.44266777733,0.0007106597667128558
68138.49505490538,0.0007135734856468518
75038.40896092058,0.0007165264044849658
82484.48272842076,0.0007195197567348159
90506.84173023593,0.000722554832140146
99136.425498153,0.0007256329800743486
108404.97431501948,0.0007287556131945425
118345.01538574041,0.0007319242113799444
128989.84871318952,0.0007351403259808256
140373.5327519722,0.0007384055844072352
152530.8700656811,0.0007417216950898829
165497.3929379143,0.0007450904528492422
179309.3491853833,0.0007485137447130471
194003.68821897465,0.0007519935562270215
209618.04747557925,0.0007555319783089743
226190.7393237895,0.0007591312147024038
243760.73855234947,0.0007627935900926076
262367.67052509025,0.0007665215589561212
282051.80019434384,0.000770317715223242
302854.02190324746,0.000774184802843676
324815.85027559526,0.0007781257273571524
347979.41217703925,0.0007821435685844538
372387.43989846087,0.0007862415945700746
398083.26566930726,0.0007904232769259801
425110.81761726015,0.0007946923077472061
453514.6172963979,0.0007990526182948642
483339.77891632816,0.0008035083996712095
514632.0104072448,0.0008080641257456778
547437.6164751642,0.0008127245786311953
581803.5038077848,0.0008174948770580694
617777.1886109144,0.0008223805080498907
655406.8066754222,0.0008273873623743346
694741.1261936135,0.0008325217743241375
735829.5635759324,0.0008377905664831924
778722.2025474824,0.000843201100254052
823469.8168454862,0.0008487613330716332
870123.8968810262,0.0008544798834109237
918736.6807870073,0.00086036610492332
969361.1903354195,0.0008664301713194041
1022051.2722861888,0.0008726831739718116
1076861.64582235,0.0008791372346621914
1133847.9568350567,0.0008858056364703474
1193066.839957398,0.0008927029765407761
1254575.989402869,0.0008998453454154817
1318434.2398861684,0.0009072505388651522
1384701.6589393374,0.0009149383097843499
1453439.6528891711,0.0009229306698805263
1524711.0878559349,0.0009312522537787762
1598580.4290282116,0.0009399307620649648
1675113.9009861303,0.0009489975051042512
1754379.6729557733,0.0009584880767929304
1836448.0737007805,0.000968443197611652
1921391.8420087937,0.0009789097807865897
2009286.4195957743,0.0009899422961075156
2100210.2977388664,0.001001604536276391
2194245.4273694186,0.0010139719359144909
2291477.710233547,0.001027134662458857
2391997.597706956,0.0010412018062347034
2495900.8197403373,0.0010563071717801422
2603289.2989070583,0.001072617463167468
2714272.311147738,0.0010903441607119921
2828967.9988887934,0.0011097613002960449
2947505.4026097143,0.0011312331123859167
3070027.2905933084,0.0011552590296975388
3196694.284732663,0.0011825513785234272
3327691.2329134997,0.001214179968384196
3463237.8145155916,0.0012518696914158155
3603608.0783049404,0.0012987065714308217
3749172.2653726726,0.0013612225650802758
3903616.919711238,0.001458418710510884
4059111.5388408266,0.001953506728584077
