Pressure (Pa),Enthalpy Liquid (J/kg)
159551.89200192055,179282.1224506589
162956.3899388158,179947.2805048908
166417.39370109575,180613.03192690568
169935.54295963713,181279.38006994192
173511.48056837035,181946.3283206503
177145.85254708078,182613.8800996315
180839.30806557275,183282.0388619889
184592.49942816136,183950.8080978852
188406.08205742334,184620.19133311062
192280.71447867976,185290.19212965833
196217.05830504082,185960.81408631062
200215.77822116134,186632.0608392331
204277.54196898182,187303.93606258061
208403.02033225546,187976.44346911256
212592.8871220952,188649.58681081797
216847.81916226837,189323.36987955356
221168.4962746437,189997.79650769054
225555.6012657242,190672.87056877612
230009.81991200452,191348.5959782031
234531.8409467284,192024.97669389547
239122.356046231,192702.01671700427
243782.05981704686,193379.72009261794
248511.64978259572,194058.0909104855
253311.82637075795,194737.1333057524
258183.2928871463,195416.85145971455
263126.7555567892,196097.24960058142
268142.9234362723,196778.3320042595
273232.5084501139,197460.10299514793
278396.22536835296,198142.5669469524
283634.79179542325,198825.72828351305
288948.92815954715,199509.59147965186
294339.3577028257,200194.1610620367
299806.80647126585,200879.44161006235
305352.00330493716,201565.43775675137
310975.6798290936,202252.15418967398
316678.570445157,202939.59565188573
322461.41232248116,203627.76694288856
328324.94539029454,204316.67291960993
334269.9123296872,205006.31849740449
340297.0585666917,205696.70865107744
346407.13226547884,206387.8484159311
352600.88432156714,207079.74288883447
358879.0683564107,207772.39722931714
365242.44071101735,208465.81666068686
371691.76044174377,209160.00647117445
378227.7893151238,209854.97201510344
384851.29180363787,210550.71871408776
391563.0350824593,211247.25205825682
398363.7890256608,211944.5776075088
405254.32620400423,212642.70099279468
412235.4218825061,213341.627917432
419307.85401877563,214041.3641584499
426472.40326197015,214741.91556796778
433729.8529518384,215443.28807460458
441080.9891193098,216145.48768492628
448526.60048633895,216848.5204849251
456067.47846739297,217552.39264153843
463704.41717103845,218257.1104042027
471438.2134020808,218962.68010644862
479269.6666645543,219669.10816753475
487199.5791653701,220376.40109412352
495228.7558181772,221084.56548199963
503358.0042483806,221793.60801783286
511588.13479834114,222503.53548098568
519919.9605340145,223214.35474536882
528354.2972511398,223926.07278134505
