Pressure,Temperature
657.5593809726452,274.16
859.0958205659902,277.92703030303034
1113.399872582095,281.69406060606065
1431.8912374004724,285.46109090909096
1827.9162607088706,289.2281212121212
2316.972730476237,292.9951515151515
2916.94224672188,296.76218181818183
3648.334014567112,300.52921212121214
4534.536128606791,304.29624242424245
5602.072346340878,308.06327272727276
6880.864826468701,311.83030303030307
8404.498782286022,315.5973333333334
10210.48914723942,319.36436363636363
12340.546153533272,323.13139393939394
14840.838763294592,326.89842424242426
17762.254308691794,330.66545454545457
21160.652011203496,334.4324848484849
25097.109704541963,338.1995151515152
29638.16152401983,341.96654545454544
34856.02568064902,345.73357575757575
40828.82128747033,349.50060606060606
47640.77235224836,353.26763636363637
55382.399219547624,357.0346666666667
64150.69580709199,360.801696969697
74049.29248042444,364.5687272727273
85188.60405647158,368.3357575757576
97685.96267116463,372.1027878787879
111665.73536430826,375.86981818181823
127259.42640253296,379.6368484848485
144605.76449620153,383.4038787878788
163850.7751576231,387.1709090909091
185147.83847362024,390.9379393939394
208657.73288205976,394.7049696969697
234548.66547238437,398.472
262996.28927479504,402.2390303030303
294183.70847295393,406.0060606060606
328301.47211691353,409.7730909090909
365547.55722122954,413.5401212121212
406127.3420749267,417.30715151515153
450253.57070436975,421.07418181818184
498146.3093531225,424.84121212121215
550032.8959971642,428.60824242424246
606147.8839023164,432.3752727272728
666732.9801218745,436.1423030303031
732036.9800823389,439.90933333333334
802315.6992944934,443.67636363636365
877831.90310539,447.44339393939396
958855.2358083328,451.21042424242427
1045662.1499284467,454.9774545454545
1138535.8370180537,458.74448484848483
1237766.1609460458,462.51151515151514
1343649.594921589,466.27854545454545
1456489.1633282348,470.04557575757576
1576594.3897092757,473.8126060606061
1704281.2521003427,477.5796363636364
1839872.1470298418,481.3466666666667
1983695.8636341975,485.113696969697
2136087.5693480233,488.8807272727273
2297388.808809513,492.6477575757576
2467947.517206343,496.4147878787879
2648118.0514378864,500.1818181818182
2838261.2386080334,503.9488484848485
3038744.4465034194,507.7158787878788
3249941.6769653275,511.48290909090906
3472233.6860093367,515.2499393939394
3706008.1324955253,519.0169696969697
3951659.7601258103,522.784
4209590.6159637505,526.5510303030303
4480210.310223202,530.3180606060606
4763936.322461627,534.0850909090909
5061194.36004333,537.8521212121212
5372418.775691994,541.6191515151515
5698053.051960656,545.3861818181817
6038550.361820234,549.1532121212122
6394374.216078138,552.9202424242424
6765999.210414979,556.6872727272728
7153911.887208167,560.454303030303
7558611.730516126,564.2213333333334
7980612.316493494,567.9883636363636
8420442.646739779,571.755393939394
8878648.69871005,575.5224242424242
9355795.236182649,579.2894545454545
9852467.934454761,583.0564848484848
10369275.890422057,586.8235151515152
10906854.607980547,590.5905454545455
11465869.575301323,594.3575757575758
12047020.582952337,598.1246060606061
12651046.964152988,601.8916363636363
13278733.984169189,605.6586666666667
13930920.603162345,609.4256969696969
14608508.844067654,613.1927272727273
15312474.916023292,616.9597575757575
16043882.194762394,620.726787878788
16803896.513856724,624.4938181818181
17593806.742971815,628.2608484848486
18415065.336049624,632.0278787878788
19269409.608106554,635.7949090909091
20159263.023682594,639.5619393939394
21088701.962328475,643.3289696969697
22064000.00000115,647.096
