Pressure,Temperature
6558.188480741015,196.495
7737.01198183769,198.60676767676767
9091.691072752536,200.71853535353534
10642.786251511921,202.83030303030304
12412.524598787444,204.9420707070707
14424.859511133578,207.05383838383838
16705.526843376643,209.16560606060608
19282.097176929896,211.27737373737375
22184.023979516685,213.38914141414142
25442.687474934253,215.5009090909091
29091.43406240719,217.61267676767676
33165.61119101773,219.72444444444446
37702.597621732,221.83621212121213
42741.82906461187,223.9479797979798
48324.81920401308,226.0597474747475
54495.17617256866,228.17151515151517
61298.61457607955,230.28328282828284
68782.96318130149,232.3950505050505
76998.16842724019,234.50681818181818
85996.29394626334,236.61858585858587
95831.51628891891,238.73035353535354
106560.11707515169,240.8421212121212
118240.47180635607,242.9538888888889
130933.03559146184,245.06565656565658
144700.32603006324,247.17742424242425
159606.9035229378,249.28919191919192
175719.34926554724,251.4009595959596
193106.24118230515,253.5127272727273
211838.12807081873,255.62449494949496
231987.50219598092,257.73626262626266
253628.77058956746,259.8480303030303
276838.22529390955,261.959797979798
301694.01277258946,264.07156565656567
328276.10272540106,266.18333333333334
356666.2565008201,268.295101010101
386947.99532446836,270.40686868686873
419206.5685321276,272.51863636363635
453528.9219918654,274.6304040404041
490003.6668927773,276.74217171717174
528721.0490761641,278.8539393939394
569772.9190665054,280.9657070707071
613252.7029724815,283.07747474747475
659255.3744089802,285.1892424242424
707877.4275950918,287.3010101010101
759216.851790491,289.4127777777778
813373.1072247024,291.52454545454543
870447.102672518,293.63631313131316
930541.174858547,295.74808080808083
993759.0698417735,297.8598484848485
1060205.9265891898,299.97161616161617
1129988.2628954453,302.08338383838384
1203213.9638994648,304.19515151515157
1279992.2733762471,306.3069191919192
1360433.788078337,308.4186868686869
1444650.4553683505,310.5304545454546
1532755.574437546,312.64222222222224
1624863.8014213159,314.7539898989899
1721091.1587551676,316.8657575757576
1821555.049153247,318.97752525252525
1926374.2746280772,321.0892929292929
2035669.0610146148,323.20106060606065
2149561.088523522,325.31282828282826
2268173.528892277,327.424595959596
2391631.089777616,329.53636363636366
2520060.067116813,331.64813131313133
2653588.4062625575,333.759898989899
2792345.772800178,335.87166666666667
2936463.63408366,337.9834343434344
3086075.3526623007,340.095202020202
3241316.292918627,342.20696969696974
3402323.9424597723,344.3187373737374
3569238.050012933,346.4305050505051
3742200.7818572456,348.54227272727275
3921356.899163014,350.6540404040404
4106853.959022502,352.7658080808081
4298842.5424602255,354.87757575757576
4497476.513371564,356.9893434343435
4702913.313178987,359.1011111111111
4915314.297163279,361.2128787878788
5134845.1200079555,363.3246464646465
5361676.1803767085,365.43641414141416
5595983.137757256,367.54818181818183
5837947.51692058,369.6599494949495
6087757.428270796,371.7717171717172
6345608.424926122,373.88348484848484
6611704.543353938,375.99525252525257
6886259.57311267,378.10702020202024
7169498.624600962,380.2187878787879
7461660.09105688,382.3305555555556
7762998.150010485,384.44232323232325
8073786.032958328,386.5540909090909
8394320.433608476,388.6658585858586
8724927.66656777,390.7776262626263
9065972.612715926,392.8893939393939
9417872.277037036,395.00116161616165
9781117.379965972,397.1129292929293
10156308.996657021,399.224696969697
10544226.581843521,401.33646464646466
10945973.192884061,403.44823232323233
11363391.162815327,405.56
